Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Construction of Community Center at Vill.-Shiv Nagar, Block-Puranpur, Distt. Pilibhit","Construction of Community Center at Vill.-Shiv Nagar, Block-Puranpur, Distt. Pilibhit","Construction of Community Center at Vill.-Shiv Nagar, Block-Puranpur, Distt. Pilibhit ",NA ,"49,99,472",Civil Works - Buildings,"Const. of Community Center at Vill.Shiv Nagar, PBT ",Tender,90.0,183.0,Pilibhit,242001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,1.0,RTGS - RTGS Payment,"1,00,000",No,fixed,,EE UPSCIDCO,Pilibhit,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",1.0,Date Extension,Date,,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,92/E.E. BLY/E-Tender/PBT/2026-27 Dt. 04.05.2026,2026_SCIDC_1145221_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,Tender Fee and EMD,"1,652",EE UPSCIDCO,Pilibhit,No,04-May-2026 06:55 PM,14-May-2026 12:00 PM,04-May-2026 06:55 PM,14-May-2026 11:00 AM,NA ,NA ,04-May-2026 06:55 PM,14-May-2026 11:00 AM,03-Jun-2026 05:20 PM,AOC,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,03-Jun-2026 05:19 PM,03-Jun-2026 05:20 PM,techsummary_2140568.pdf (82.81 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,08-Jun-2026 01:55 PM,finance_2140568.pdf,BOQ Comparative Chart,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,08-Jun-2026 02:19 PM,finsummary_2140568.pdf (759.23 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,03-Jun-2026 05:10 PM,technical_2140568.pdf,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1145221_1,92/E.E. BLY/E-Tender/PBT/2026-27 Dt. 04.05.2026,"Construction of Community Center at Vill.-Shiv Nagar, Block-Puranpur, Distt. Pilibhit",1.0,6108213.0,M/s Bagesh And Sons,INR,"4,978,474.22",1,6114582,Ismaile Khan Contractor,14-May-2026 01:07 AM,Rejected-AOC,IInd Lowest Rate,08-Jun-2026 05:49 PM,08-Jun-2026,"INR 4,978,474.22",183.0,Charan Singh Arya,08-Jun-2026 05:48 PM,LOI92.pdf (942.00 KB),Total Contract Value Rs. 4978474.22,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Tender Notice and BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6108213,M/s Bagesh And Sons,14-May-2026 12:23 AM,Accepted-AOC,Ist Lowest Rate,08-Jun-2026 05:49 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6111297,M/S JAI BHOLEY CONSTRUCTION COMPANY,12-May-2026 06:27 PM,Not Admitted-Fee,Others-Request made to cancel the technical bid,27-May-2026 02:43 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6109370,Ramvati Contractor,12-May-2026 11:23 AM,Rejected-Technical,"Disqualified, Not fulfil as par NIT Condition",03-Jun-2026 05:19 PM,,,,,,,,AOC
