Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,10_NP Pipiganj_07-04-2026,2026_DOLBU_1134034_35,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,"1,29,400",No,percentage,10.0%,Nagar Panchayat Pipiganj,Gorakhpur,"1,250",Nagar Panchayat Pipiganj,Gorakhpur,No,1.0,Suchana,Other,,1.0,Fee/PreQual/Technical,.pdf,NIT,Ward No. 14 me RCC Covered Nali and CC Road Work,Ward No. 14 me RCC Covered Nali and CC Road Work,Please refer Tender documents. ,NA ,"12,94,000",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Pipiganj,273165.0,NA ,NA ,NA ,Nagar Panchayat Pipiganj,No ,No,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,NA ,NA ,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,29-Apr-2026 01:45 PM,Executive Officer,Nagar Panchayat Pipiganj Gorakhpur,AOC,1.0,6053176.0,MS SAUMAYA CONSTRUCTION,INR,"1,293,974.12",Anjneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Anjneya Mishra,10-May-2026 03:52 PM,finsummary_2117056.pdf (5698.65 KB),Finance,3 Bids,Anjneya Mishra,09-May-2026 03:42 PM,finance_2117056.pdf,BOQ Comparative Chart,1,6053153,CHAUDHARY CONSTRUCTION,17-Apr-2026 02:01 AM,Rejected-Finance,L3,10-May-2026 03:52 PM,Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,2026_DOLBU_1134034_35,10_NP Pipiganj_07-04-2026,Ward No. 14 me RCC Covered Nali and CC Road Work,29-May-2026,"INR 1,293,974.12",90.0,Anjneya Mishra,08-Jun-2026 12:21 PM,35.pdf (492.00 KB),Saumya Construction,Technical,3 Bids,Anjneya Mishra,29-Apr-2026 12:08 PM,technical_2117056.pdf,Ajneya Mishra,Internal,026_DOLBU_1134034_30,Anjneya Mishra,29-Apr-2026 01:42 PM,29-Apr-2026 01:45 PM,techsummary_2117056.pdf (4110.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6053052,M/S RITIKA ENTERPRISES,17-Apr-2026 12:28 AM,Rejected-Finance,L2,10-May-2026 03:52 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,6053176,MS SAUMAYA CONSTRUCTION,17-Apr-2026 03:06 AM,Accepted-AOC,L1,08-Jun-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
