Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Summary,Dileep Shukla,19-May-2026 04:09 PM,,26-Jun-2026,"INR 12,724,785.59",270.0,Dileep Shukla,26-Jun-2026 06:41 PM,07_60.pdf (888.00 KB),Er Isham Singh CE RED East,Internal,"Er Isham Singh CE RED East, Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Vivek Priya EE RED Gorakhpur, Er P K Bharti EE RED Maharajganj, Mr Katyayani Prasad DAO RED Gorakhpur",Dileep Shukla,27-May-2026 03:07 PM,02-Jun-2026 12:00 PM,techsummary_2142028.pdf (1100.30 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1145688_60,07/SE RED Gorakhpur/Gorakhpur/26-27 Dt 02/04/2026,"Under District Gorakhpur, Construction of Barigaon-Usrain road in block Belghat from zero to road Construction work, Lot No 60",1,6115395,m/s chand associates,14-May-2026 12:48 PM,Rejected-Finance,Rejected,26-Jun-2026 04:51 PM,1.0,6113064.0,m/s reliable,INR,"12,724,785.59",Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,26-Jun-2026 04:51 PM,finsummary_2142028.pdf (888.39 KB),Finance,Summary,Dileep Shukla,02-Jun-2026 06:41 PM,,BOQ Comparative Chart,AOC,"2,16,620",No,percentage,2.0%,Nil,Nil,"2,714",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",1.0,SBI Bank,06-May-2026 11:00 AM,19-May-2026 12:30 PM,06-May-2026 11:00 AM,18-May-2026 12:00 PM,NA ,NA ,06-May-2026 11:00 AM,18-May-2026 12:00 PM,02-Jun-2026 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,07/SE RED Gorakhpur/Gorakhpur/26-27 Dt 02/04/2026,2026_REDUP_1145688_60,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Gorakhpur, Construction of Barigaon-Usrain road in block Belghat from zero to road Construction work, Lot No 60","Under District Gorakhpur, Construction of Barigaon-Usrain road in block Belghat from zero to road Construction work, Lot No 60",Please refer Tender documents. ,NA ,"1,08,31,000",Civil Works,NA ,Tender,90.0,NA ,Gorakhpur,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",11-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6113064,m/s reliable,14-May-2026 01:37 PM,Accepted-AOC,AOC,26-Jun-2026 06:41 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
