Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",2026_UPIDC_1139469_1,01/SE/2026-27,Closing Spill and Raising of L/B on River Sharda from D/S of Village Khairaniya to Railway Bridge in Tehsil Palia District Lakhimpur Kheri. LOT-01,1.0,6073525.0,M/S SRI RAJ BAHADUR SINGH,INR,"12,039,560.52",1,6073168,LAXMINARAIN INFRABUILD PRIVATE LIMITED,27-Apr-2026 07:17 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,19-May-2026,"INR 12,039,560.52",30.0,Anil Kumar Niranjan,10-Jun-2026 10:34 AM,Lot01lmp.pdf (634.00 KB),AOC,Anil Kumar Niranjan,Internal,Om Prakash Verma,Anil Kumar Niranjan,05-May-2026 12:13 PM,07-May-2026 01:00 PM,techsummary_2127491.pdf (372.40 KB),Finance,financial evaluation,Anil Kumar Niranjan,08-May-2026 12:30 PM,,BOQ Comparative Chart,Anil Kumar Niranjan,Internal,Om Prakash Verma,Anil Kumar Niranjan,08-May-2026 05:33 PM,finsummary_2127491.pdf (293.46 KB),Technical,Technical Evaluation,Anil Kumar Niranjan,28-Apr-2026 07:18 PM,,AOC,1.0,SBI Bank,SE,Superintending Engineer Flood Circle Lakhimpur-kheri,"2,715",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical,1.0,Technical,Technical Bid,,21-Apr-2026 09:00 AM,28-Apr-2026 03:00 PM,21-Apr-2026 11:00 AM,28-Apr-2026 02:00 PM,NA ,NA ,21-Apr-2026 11:00 AM,28-Apr-2026 02:00 PM,07-May-2026 01:00 PM,Closing Spill and Raising of L/B on River Sharda from D/S of Village Khairaniya to Railway Bridge in Tehsil Palia District Lakhimpur Kheri. LOT-01,Closing Spill and Raising of L/B on River Sharda from D/S of Village Khairaniya to Railway Bridge in Tehsil Palia District Lakhimpur Kheri. LOT-01,Please refer Tender documents. ,NA ,"2,48,52,000",Civil Works,NA ,Tender,90.0,30.0,Lakhimpur Kheri,262701.0,Lakhimpur ,Superintending Engineer Flood Circle Lakhimpur-kheri  ,22-Apr-2026 01:00 PM ,SE Flood Circle Lakhimpur Kheri,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",01/SE/2026-27,2026_UPIDC_1139469_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,97,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6063715,M/S K.K. TRADERS,22-Apr-2026 10:52 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6061485,M/S KUMAR MANGLAM CONSTRUCTION,27-Apr-2026 09:09 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6074181,M/S MAHESHWARI TRADERS,28-Apr-2026 11:36 AM,Rejected-Technical,Reject,05-May-2026 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6073297,M/S OBELION CONSTRUCTIONS,28-Apr-2026 12:28 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,6073083,MS ROAD LINES INDIA PVT LTD,27-Apr-2026 09:07 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,6073525,M/S SRI RAJ BAHADUR SINGH,28-Apr-2026 09:45 AM,Accepted-AOC,L1,10-Jun-2026 10:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,6073499,R.B.S. CONSTRUCTION,27-Apr-2026 11:14 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,6071488,SANJEEV SRIVASTAVA,28-Apr-2026 12:51 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,6074307,SINGH CONTRACTOR,28-Apr-2026 12:45 PM,Rejected-Finance,Rejected,08-May-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
