Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(267)/NNA/2025-26,2026_DOLBU_1116685_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE,NAGAR NIGAM ALIGARH,11-Apr-2026 05:00 PM,22-Apr-2026 11:00 AM,11-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,NA ,NA ,11-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,21-May-2026 01:25 PM,"1,75,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"17,50,000",Civil Works,NA ,Tender,90.0,45.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,"2,360",Nil,Nil,No,1.0,SBI Bank,AOC,Finance,ok,Rajesh Kumar,02-Jun-2026 06:46 PM,,BOQ Comparative Chart,CE,Internal,EE,Danish Haider Naqvi,21-May-2026 01:21 PM,21-May-2026 01:25 PM,techsummary_2121019.pdf (193.40 KB),Technical,All Documents Completed,Rajesh Kumar,21-May-2026 11:51 AM,technical_2121019.pdf,ce,Internal,ee,Rajesh Kumar,02-Jun-2026 07:21 PM,finsummary_2121019.pdf (254.20 KB),23-Jun-2026,"INR 1,713,775",45.0,Rajvir Singh,23-Jun-2026 06:28 PM,cammetti.pdf (193.00 KB),ok,1,6053985,M/S AMAN ASSOCIATES,19-Apr-2026 04:38 PM,Rejected-Finance,ok,02-Jun-2026 07:21 PM,1.0,6053998.0,VIPUL ENTERPRISES,INR,"1,713,775",Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116685_2,6269(267)/NNA/2025-26,NIRMAN WORK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6053990,M/s Naresh Construction Co.,19-Apr-2026 05:27 PM,Rejected-Finance,ok,02-Jun-2026 07:21 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6053998,VIPUL ENTERPRISES,19-Apr-2026 05:40 PM,Accepted-AOC,ok,23-Jun-2026 06:28 PM,,,,,,,,,,AOC
