Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,63/RED/Tender/Unnao/2026-27 Dt-06-04-2026,2026_REDUP_1141890_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er Narendra Chaudhary,Vikas Bhawan,Sadar Vidhan Sabha me 90 Solar Light Ka Adhisthapn ka karye.,Sadar Vidhan Sabha me 90 Solar Light Ka Adhisthapn ka karye.,Plz Refer DOC ,NA ,"16,40,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,"2,384",Nil,Nil,Yes,"33,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,25-Apr-2026 02:30 PM,04-May-2026 12:30 PM,25-Apr-2026 02:30 PM,04-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 02:30 PM,04-May-2026 12:00 PM,16-May-2026 03:20 PM,1.0,SBI Bank,AOC,Finance,Summary,Narendra chaudhary,12-Jun-2026 04:23 PM,finance_2132672.pdf,BOQ Comparative Chart,EE RED UNNAO,Internal,,Narendra chaudhary,16-May-2026 03:18 PM,16-May-2026 03:20 PM,techsummary_2132672.pdf (449.04 KB),Technical,SummaRY,Narendra chaudhary,16-May-2026 03:15 PM,technical_2132672.pdf,Er Narendra Chaudhry,Internal,,Narendra chaudhary,12-Jun-2026 04:25 PM,finsummary_2132672.pdf (1061.65 KB),12-Jun-2026,"INR 1,776,412.44",90.0,Narendra chaudhary,12-Jun-2026 04:28 PM,90solarlight0004.pdf (1062.00 KB),l1,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1141890_5,63/RED/Tender/Unnao/2026-27 Dt-06-04-2026,Sadar Vidhan Sabha me 90 Solar Light Ka Adhisthapn ka karye.,1.0,6069314.0,M/s Tara Construction,INR,"1,776,412.44",1,6069314,M/s Tara Construction,25-Apr-2026 10:16 PM,Accepted-AOC,l1,12-Jun-2026 04:28 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6069630,Rishi Prakash jaiswal,26-Apr-2026 11:10 AM,Rejected-AOC,l2,12-Jun-2026 04:28 PM,AOC
