Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,20-Apr-2026 02:00 PM,04-May-2026 12:30 PM,20-Apr-2026 02:00 PM,04-May-2026 12:00 PM,NA ,NA ,20-Apr-2026 02:00 PM,04-May-2026 12:00 PM,18-May-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,"1,104",Nil,Nil,No,Vikas Khand Sadar ke Gram Sirsi me Munna Maurya ke makan se Hanuman Maurya ke khet tak interlocking road ka nirman karya.,Vikas Khand Sadar ke Gram Sirsi me Munna Maurya ke makan se Hanuman Maurya ke khet tak interlocking road ka nirman karya.,Please refer Tender documents. ,NA ,"15,95,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Chandauli,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,1.0,SBI Bank,EE RED Chandauli,EE RED Chandauli,"32,000",No,fixed,,Nil,Nil,AOC,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,21-May-2026 03:05 PM,finsummary_2127522.pdf (253.21 KB),Finance,bids received,Aniruddh Kumar Yadav,18-May-2026 04:40 PM,,BOQ Comparative Chart,1.0,6084681.0,SHRI KHATU SHYAM ENTERPRISES,INR,"1,578,117",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_20,21/RED/Chandauli/26-27 Date-04-04-2026,Vikas Khand Sadar ke Gram Sirsi me Munna Maurya ke makan se Hanuman Maurya ke khet tak interlocking road ka nirman karya.,1,6085663,M/S AMAR BAHADUR SINGH,03-May-2026 07:49 PM,Rejected-Finance,2nd Bidder,21-May-2026 03:05 PM,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,12-May-2026 04:47 PM,18-May-2026 11:00 AM,techsummary_2127522.pdf (235.46 KB),22-May-2026,"INR 1,578,117",90.0,Aniruddh Kumar Yadav,01-Jun-2026 04:37 PM,sirasi.pdf (215.00 KB),Technical,bids received,Aniruddh Kumar Yadav,12-May-2026 04:41 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6084204,M/S MAHAKAL CONSTRUCTION,03-May-2026 07:42 PM,Rejected-Technical,Clause 3.3(i) of ITB,12-May-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,6084681,SHRI KHATU SHYAM ENTERPRISES,03-May-2026 06:55 PM,Accepted-AOC,1st Lowest,01-Jun-2026 04:38 PM,,,,,,,,,,,,,,,,,,,AOC
