Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1139094_1,1506/AA-2/25-26,Improvement of Road in Sanigawan Sanjeev Nagar Malin Basti ward-31 Zone-02,1.0,6059832.0,MAA PITAMBARA CONSTRUCTION,INR,"702,839",1,6059832,MAA PITAMBARA CONSTRUCTION,20-Apr-2026 05:31 PM,Accepted-AOC,AOC,20-Jun-2026 07:54 PM,13-Jun-2026,"INR 702,839",45.0,DIVAKAR BHASKAR,20-Jun-2026 07:54 PM,1139094mapitambra.pdf (720.00 KB),Finance,L1 bids in lottery,DIVAKAR BHASKAR,25-Apr-2026 04:52 PM,,BOQ Comparative Chart,CE,Internal,,DIVAKAR BHASKAR,25-May-2026 05:32 PM,finsummary_2126823.pdf (775.36 KB),CE,Internal,,DIVAKAR BHASKAR,25-May-2026 05:27 PM,techsummary_2126823.pdf (194.18 KB),AOC,"97,571",No,percentage,10.0%,Nil,Nil,"CHIEF ENGINEER, KMC",Motijheel,20-Apr-2026 09:00 AM,25-Apr-2026 04:00 PM,20-Apr-2026 09:00 AM,25-Apr-2026 03:00 PM,NA ,NA ,20-Apr-2026 09:00 AM,25-Apr-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,boq,"Kanpur Municipal Corporation, Kanpur, UP",1506/AA-2/25-26,2026_NNKAN_1139094_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,Improvement of Road in Sanigawan Sanjeev Nagar Malin Basti ward-31 Zone-02,Improvement of Road in Sanigawan Sanjeev Nagar Malin Basti ward-31 Zone-02,Please refer Tender documents. ,NA ,"9,75,705",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,1.0,SBI Bank,AOC
,,,,,,,,,2,6068264,M/S MAA BALA DEVI CONSTRUCTION COMPANY,25-Apr-2026 01:14 PM,Rejected-Finance,L1,25-May-2026 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6063882,NAVYA CONSTRUCTION,23-Apr-2026 08:31 AM,Rejected-Finance,L4,25-May-2026 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6066519,SHRI BHUMI DEVELOPERS,25-Apr-2026 02:59 PM,Rejected-Finance,L2,25-May-2026 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6059853,S K CONSTRUCTION,20-Apr-2026 05:40 PM,Rejected-Finance,L3,25-May-2026 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,6065323,S.S. CONSTRUCTION,23-Apr-2026 09:49 PM,Rejected-Finance,L1,25-May-2026 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
