S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,6026014.0,SINGH CONSTRUCTION AND SUPPLIER,INR,"2,214,539.34",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MORADABAD CIRCLE||EE BIJNOR,2026_REDUP_1128971_2,50/EE/RED/DATE-05-03-2026,2-Construction work of C.C road from the culvert near the graveyard to Zulfiqar s house in Village Sarai Imma.,1,6026064,GAURAV KUMAR SHARMA CONTRACTOR,07-Apr-2026 06:28 PM,Rejected-Finance,L2,08-May-2026 03:23 PM,01-Jun-2026,"INR 2,214,539.34",120.0,FIROZ DOST,01-Jun-2026 05:56 PM,BOND_21.pdf (1040.00 KB),ACCEPT,AE.DAO.EE,Internal,AE.DAO.EE,FIROZ DOST,08-May-2026 03:23 PM,finsummary_2105892.pdf (874.43 KB),Technical,ACCEPT,FIROZ DOST,20-Apr-2026 06:50 PM,technical_2105892.pdf,AE.DAO.EE,Internal,AE.DAO.EE,FIROZ DOST,20-Apr-2026 06:53 PM,25-Apr-2026 10:00 AM,techsummary_2105892.pdf (288.53 KB),Finance,ACCEPT,FIROZ DOST,08-May-2026 03:20 PM,finance_2105892.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,TECHNICAL,2-Construction work of C.C road from the culvert near the graveyard to Zulfiqar s house in Village Sarai Imma.,2-Construction work of C.C road from the culvert near the graveyard to Zulfiqar s house in Village Sarai Imma.,Please refer Tender documents. ,NA ,"22,17,200",Civil Works,NA ,Tender,90.0,120.0,EEREDBIJNOR,246701.0,EEREDBIJNOR ,EEREDBIJNOR ,23-Mar-2026 04:47 PM ,EEREDBIJNOR,No ,No,1.0,SBI Bank,23-Mar-2026 10:00 AM,13-Apr-2026 12:30 PM,23-Mar-2026 10:00 AM,13-Apr-2026 12:00 PM,NA ,NA ,23-Mar-2026 10:00 AM,13-Apr-2026 12:00 PM,25-Apr-2026 10:00 AM,EEREDBIJNOR,EEREDBIJNOR,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MORADABAD CIRCLE||EE BIJNOR,50/EE/RED/DATE-05-03-2026,2026_REDUP_1128971_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"46,000",Yes,fixed,,Nil,Nil,"2,354",Nil,Nil,No,AOC
,,,,,,,,,2,6026014,SINGH CONSTRUCTION AND SUPPLIER,05-Apr-2026 04:51 PM,Accepted-AOC,L1,01-Jun-2026 05:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
