Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage
CE civil,Internal,,Office Representative-2,27-Apr-2026 03:19 PM,28-Apr-2026 03:30 PM,techsummary_2101621.pdf (591.55 KB),30-Jun-2026,"INR 973,519",60.0,Office Representative-2,30-Jun-2026 12:23 PM,72.pdf (856.00 KB),Technical,1b,Office Representative-3,07-Apr-2026 03:04 PM,,1.0,6010723.0,MEENANSHIVA ASSOCIATES,INR,"973,519",Exen,Internal,Committee Members,Office Representative-3,29-Jun-2026 04:16 PM,finsummary_2101621.pdf (383.76 KB),Finance,01 Bid Recived,Office Representative-2,28-Apr-2026 03:59 PM,,BOQ Comparative Chart,Directorate of Local Bodies UP||Mathura Municipal Corporation,2026_DOLBU_1126480_27,NNMV/NIRMAN/101/01-36,WORK NO. 27 OUT OF 36 WORKS.,1.0,6010723.0,MEENANSHIVA ASSOCIATES,26-Mar-2026 05:57 PM,Accepted-AOC,AOC,30-Jun-2026 12:24 PM,AOC,"98,955",No,percentage,10.0%,Nil,Nil,WORK NO. 27 OUT OF 36 WORKS.,AS PER NIT,Please refer Tender documents. ,NA ,"9,89,550",Civil Works,NA ,Tender,90.0,NA ,NNMV,281003.0,NA ,NA ,NA ,NNMV,No ,No,705.0,Nil,Nil,No,18-Mar-2026 03:00 PM,28-Mar-2026 11:00 AM,18-Mar-2026 03:00 PM,27-Mar-2026 11:00 AM,NA ,NA ,18-Mar-2026 03:00 PM,27-Mar-2026 11:00 AM,28-Apr-2026 03:30 PM,Directorate of Local Bodies UP||Mathura Municipal Corporation,NNMV/NIRMAN/101/01-36,2026_DOLBU_1126480_27,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TENDER DOCS,C.E. CIVIL,NNMV,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC
