Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
Vikas Khand Bankati mein kakrauli harijan basti se khirihwa Puliya tak pitch nirman karya,Vikas Khand Bankati mein kakrauli harijan basti se khirihwa Puliya tak pitch nirman karya,AS PER SBD ,NA ,"49,08,000",Civil Works,NA ,Tender,90.0,180.0,WORKS,272001.0,NA ,NA ,NA ,O/O SE RED BASTI,No ,No,"98,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,technical,30-May-2026 05:00 PM,06-Jun-2026 03:30 PM,30-May-2026 05:00 PM,06-Jun-2026 12:00 PM,30-May-2026 05:00 PM ,06-Jun-2026 12:00 PM ,30-May-2026 05:00 PM,06-Jun-2026 12:00 PM,03-Jul-2026 12:00 PM,1.0,SBI Bank,SE RED BASTI,O/O SE RED BASTI,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,22/RED/Tender/File No/Bond Clerk/2026-27Dt. 07.04.26,2026_REDUP_1155677_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,714",Nil,Nil,No,AOC,ER MUNESH KUMAR LODHI,Internal,se,MuneshKumar Lodhi,30-Jul-2026 08:20 PM,finsummary_2165041.pdf (392.47 KB),Technical,c,MuneshKumar Lodhi,26-Jun-2026 01:14 PM,,Er. Munesh Kumar Lodhi,Internal,se,MuneshKumar Lodhi,26-Jun-2026 01:16 PM,03-Jul-2026 12:00 PM,techsummary_2165041.pdf (113.51 KB),Finance,c,MuneshKumar Lodhi,03-Jul-2026 04:38 PM,,BOQ Comparative Chart,1,6171427,AR CONSTRUCTION,05-Jun-2026 01:44 PM,Accepted-AOC,a,30-Jul-2026 08:22 PM,1.0,6171427.0,AR CONSTRUCTION,INR,"4,901,085.57",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,2026_REDUP_1155677_5,22/RED/Tender/File No/Bond Clerk/2026-27Dt. 07.04.26,Vikas Khand Bankati mein kakrauli harijan basti se khirihwa Puliya tak pitch nirman karya,30-Jul-2026,"INR 4,901,085.57",180.0,MuneshKumar Lodhi,30-Jul-2026 08:22 PM,5.pdf (392.00 KB),a,1.0,revocation,revocation,15-Jun-2026 03:14 PM,nit05tvy.pdf ,198.35,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6171597,M/S RAM MILAN PAL CONSTRUCTION COMPANY,05-Jun-2026 02:17 PM,Rejected-Finance,r,30-Jul-2026 08:20 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
