S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1,6161992,LAWANGI CONSTRUCTION,02-Jun-2026 12:53 PM,Accepted-AOC,aoc,01-Jul-2026 01:22 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1153371_1,378/EE/RED/2026-27/05-05-2026,LOT29 VIKAS KHAND SOHANV ME GRAM SABHA PALIGARA ME KUBER RAJBHAR KE GHAR SE RAIMAL YADAV KE GHAR TAK CC ROAD KA NIRMAN KARYA,1.0,6161992.0,LAWANGI CONSTRUCTION,INR,"892,974.36",01-Jul-2026,"INR 892,974.36",90.0,Ratnesh Kumar Gond,01-Jul-2026 01:22 PM,rispansiv378.pdf (71.00 KB),aoc,EE,Internal,aedao,Ratnesh Kumar Gond,18-Jun-2026 04:28 PM,finsummary_2160587.pdf (70.55 KB),Technical,2 bid,Ratnesh Kumar Gond,07-Jun-2026 07:13 PM,,EE,Internal,aedao,Ratnesh Kumar Gond,11-Jun-2026 05:58 PM,12-Jun-2026 10:00 AM,techsummary_2160587.pdf (70.55 KB),Finance,2 bid,ROLI VISHVKARMA,12-Jun-2026 03:28 PM,,BOQ Comparative Chart,AOC,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,378/EE/RED/2026-27/05-05-2026,2026_REDUP_1153371_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,856.0,Nil,Nil,No,"18,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,27-May-2026 09:00 AM,05-Jun-2026 12:30 PM,27-May-2026 09:00 AM,04-Jun-2026 12:00 PM,NA ,NA ,27-May-2026 09:00 AM,04-Jun-2026 12:00 PM,12-Jun-2026 10:00 AM,LOT29 VIKAS KHAND SOHANV ME GRAM SABHA PALIGARA ME KUBER RAJBHAR KE GHAR SE RAIMAL YADAV KE GHAR TAK CC ROAD KA NIRMAN KARYA,LOT29 VIKAS KHAND SOHANV ME GRAM SABHA PALIGARA ME KUBER RAJBHAR KE GHAR SE RAIMAL YADAV KE GHAR TAK CC ROAD KA NIRMAN KARYA,Please refer Tender documents. ,NA ,"8,94,000",Civil Works,NA ,Tender,90.0,90.0,BALLIA,277001.0,NA ,NA ,NA ,EE RED BALLIA,No ,No,EE RED DIV BALLIA,EE RED DIV BALLIA,AOC
2,6164490,SONA CONTRUCTION,03-Jun-2026 12:31 PM,Rejected-Finance,second lowest,18-Jun-2026 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
