Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1158089_1,546/EE/RED/25-05-2026,LOT 04 VIKAS KHAND MANIAR KE GRAM PANCHAYAT BAHADURA ME DALIT BASTI RAJA CHAUDHARI KE GHAR SE KALI MAA ASTHAN KE TARAF NALI WA CC ROAD NIRMAN KARYA,1.0,6210707.0,MAA XONSTRUCTION AND SUPPLIERS,INR,"796,043.59",1,6210743,DIWAN YADAV,22-Jun-2026 10:17 PM,Rejected-Finance,second lowest,07-Jul-2026 04:45 PM,27-Jul-2026,"INR 796,043.59",90.0,ROLI VISHVKARMA,27-Jul-2026 12:18 PM,rispansiv546.pdf (81.00 KB),aoc,EE,Internal,aedao,ROLI VISHVKARMA,07-Jul-2026 04:45 PM,finsummary_2170481.pdf (80.90 KB),Technical,2 bid,Ratnesh Kumar Gond,25-Jun-2026 05:12 PM,,EE,Internal,aedao,ROLI VISHVKARMA,27-Jun-2026 03:14 PM,29-Jun-2026 11:00 AM,techsummary_2170481.pdf (80.90 KB),Finance,2 bid,Ratnesh Kumar Gond,29-Jun-2026 04:11 PM,,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,546/EE/RED/25-05-2026,2026_REDUP_1158089_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,15-Jun-2026 09:00 AM,25-Jun-2026 12:30 PM,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,NA ,NA ,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,29-Jun-2026 11:00 AM,LOT 04 VIKAS KHAND MANIAR KE GRAM PANCHAYAT BAHADURA ME DALIT BASTI RAJA CHAUDHARI KE GHAR SE KALI MAA ASTHAN KE TARAF NALI WA CC ROAD NIRMAN KARYA,LOT 04 VIKAS KHAND MANIAR KE GRAM PANCHAYAT BAHADURA ME DALIT BASTI RAJA CHAUDHARI KE GHAR SE KALI MAA ASTHAN KE TARAF NALI WA CC ROAD NIRMAN KARYA,Please refer Tender documents. ,NA ,"7,98,000",Civil Works,NA ,Tender,90.0,90.0,BALLIA,277001.0,NA ,NA ,NA ,EE RED BALLIA,No ,No,EE RED DIV BALLIA,EE RED DIV BALLIA,"16,000",Yes,fixed,,Nil,Nil,856.0,Nil,Nil,No,AOC
,,,,,,,,,2,6210707,MAA XONSTRUCTION AND SUPPLIERS,22-Jun-2026 08:15 PM,Accepted-AOC,aoc,27-Jul-2026 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
