Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,546/EE/RED/25-05-2026,2026_REDUP_1160239_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"17,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,856.0,Nil,Nil,No,EE RED DIV BALLIA,EE RED DIV BALLIA,LOT 35 THANA PAKDI KE PAAS PEVARS BLOCK KA NIRMAN KARYA,LOT 35 THANA PAKDI KE PAAS PEVARS BLOCK KA NIRMAN KARYA,Please refer Tender documents. ,NA ,"8,47,000",Civil Works,NA ,Tender,90.0,90.0,BALLIA,277001.0,NA ,NA ,NA ,EE RED BALLIA,No ,No,15-Jun-2026 09:00 AM,25-Jun-2026 12:30 PM,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,NA ,NA ,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,29-Jun-2026 11:00 AM,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,AOC,EE,Internal,aedao,Ratnesh Kumar Gond,27-Jun-2026 02:30 PM,29-Jun-2026 11:00 AM,techsummary_2174414.pdf (80.92 KB),Finance,2 bid,Ratnesh Kumar Gond,30-Jun-2026 12:06 PM,,BOQ Comparative Chart,EE,Internal,aedao,Ratnesh Kumar Gond,02-Jul-2026 02:59 PM,finsummary_2174414.pdf (80.92 KB),Technical,2 bid,Ratnesh Kumar Gond,26-Jun-2026 02:42 PM,,1,6206921,M/S KAPILESHWARI CONSTRUCTION,22-Jun-2026 03:04 PM,Rejected-Finance,second lowest,02-Jul-2026 02:59 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1160239_1,546/EE/RED/25-05-2026,LOT 35 THANA PAKDI KE PAAS PEVARS BLOCK KA NIRMAN KARYA,1.0,6206927.0,VAISHNAVI ENTERPRISES,INR,"845,802.91",10-Jul-2026,"INR 845,802.91",90.0,Ratnesh Kumar Gond,10-Jul-2026 11:54 AM,rispansiv546.pdf (81.00 KB),aoc,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6206927,VAISHNAVI ENTERPRISES,22-Jun-2026 02:27 PM,Accepted-AOC,aoc,10-Jul-2026 11:54 AM,,,,,,,,,,,,,,,,,AOC
