Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,546/EE/RED/25-05-2026,2026_REDUP_1158083_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,EE RED DIV BALLIA,EE RED DIV BALLIA,"10,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,856.0,Nil,Nil,No,15-Jun-2026 09:00 AM,25-Jun-2026 12:30 PM,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,NA ,NA ,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,29-Jun-2026 12:00 PM,LOT 03 VIKAS KHAND MANIAR KE GRAM PANCHAYAT PURUSHOTTAM PATTI KE ZINDAPUR ME PATEL SIPAHI KE GHAR SE SHAHEED BABA KE ASTHAN KE TARAF INTERLOCKING KARYA,LOT 03 VIKAS KHAND MANIAR KE GRAM PANCHAYAT PURUSHOTTAM PATTI KE ZINDAPUR ME PATEL SIPAHI KE GHAR SE SHAHEED BABA KE ASTHAN KE TARAF INTERLOCKING KARYA,Please refer Tender documents. ,NA ,"5,93,000",Civil Works,NA ,Tender,90.0,90.0,BALLIA,277001.0,NA ,NA ,NA ,EE RED BALLIA,No ,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,AOC,Finance,2 bid,Ratnesh Kumar Gond,29-Jun-2026 03:55 PM,,BOQ Comparative Chart,EE,Internal,aedao,ROLI VISHVKARMA,27-Jun-2026 03:18 PM,29-Jun-2026 12:00 PM,techsummary_2170472.pdf (80.90 KB),Technical,2 bid,Ratnesh Kumar Gond,25-Jun-2026 05:09 PM,,EE,Internal,aedao,Ratnesh Kumar Gond,07-Jul-2026 02:47 PM,finsummary_2170472.pdf (80.92 KB),27-Jul-2026,"INR 591,916.33",90.0,ROLI VISHVKARMA,27-Jul-2026 12:14 PM,rispansiv546.pdf (81.00 KB),aoc,1,6210739,DIWAN YADAV,22-Jun-2026 10:14 PM,Rejected-Finance,second lowest,07-Jul-2026 02:47 PM,1.0,6210706.0,MAA XONSTRUCTION AND SUPPLIERS,INR,"591,916.33",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1158083_1,546/EE/RED/25-05-2026,LOT 03 VIKAS KHAND MANIAR KE GRAM PANCHAYAT PURUSHOTTAM PATTI KE ZINDAPUR ME PATEL SIPAHI KE GHAR SE SHAHEED BABA KE ASTHAN KE TARAF INTERLOCKING KARYA,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6210706,MAA XONSTRUCTION AND SUPPLIERS,22-Jun-2026 08:13 PM,Accepted-AOC,aoc,27-Jul-2026 12:14 PM,,,,,,,,,,AOC
