Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"7,079",Nil,Nil,No,SE XII CIRCLE IRRIGATION WORKS LUCKNOW,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",01/SE-XII/2026-27.,2026_UPIDC_1145685_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,PRE QUALIFICATION DOCUMENTS,06-May-2026 09:00 AM,11-May-2026 03:30 PM,06-May-2026 10:00 AM,11-May-2026 03:00 PM,NA ,NA ,06-May-2026 10:00 AM,11-May-2026 03:00 PM,06-Jun-2026 02:30 PM,AS PER TENDER NOTICE LOT 1,AS PER TENDER NOTICE LOT 1,Please refer Tender documents. ,NA ,"3,99,48,000",Civil Works,NA ,Tender,90.0,180.0,LAKHIMPUR KHERI,262701.0,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW ,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW ,08-May-2026 02:00 PM ,LUCKNOW,No ,No,"7,99,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC,Finance,FINANCIAL OPENED,Lavkush Singh,09-Jun-2026 08:58 PM,,BOQ Comparative Chart,"LAVKUSH SINGH, SE XII CIRCLE",Internal,"BP SINGH, SE VII CIRCLE",Lavkush Singh,06-Jun-2026 01:30 PM,06-Jun-2026 02:30 PM,techsummary_2141877.pdf (1207.39 KB),Technical,Technical Opened,Lavkush Singh,06-Jun-2026 01:19 PM,,"LAVKUSH SINGH, SE XII CIRCLE",Internal,BP SINGH SE VII CIRCLE IW LKO,Lavkush Singh,09-Jun-2026 09:12 PM,finsummary_2141877.pdf (428.71 KB),1.0,TENDER REVOCATION,TENDER REVOKED,04-Jun-2026 01:19 PM,REVOKE.pdf ,395.43,Technical Opening,15-Jun-2026,"INR 28,550,159.69",180.0,Lavkush Singh,03-Jul-2026 06:19 PM,AOC1.pdf (760.00 KB),AOC,1.0,6104418.0,M/S OBELION CONSTRUCTIONS,INR,"28,550,159.69","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",2026_UPIDC_1145685_1,01/SE-XII/2026-27.,AS PER TENDER NOTICE LOT 1,1,6104833,M/S CONSTRUCTION NETWORK INDIA,11-May-2026 09:36 AM,Rejected-Finance,6TH LOWEST,09-Jun-2026 09:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6102963,M/S K.K. TRADERS,10-May-2026 10:34 PM,Rejected-Finance,2ND LOWEST,09-Jun-2026 09:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6093412,M/S KUMAR MANGLAM CONSTRUCTION,11-May-2026 11:08 AM,Rejected-Technical,TECHNICALLY DISQUALIFIED,06-Jun-2026 01:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6104418,M/S OBELION CONSTRUCTIONS,11-May-2026 02:08 PM,Accepted-AOC,1ST LOWEST,03-Jul-2026 06:19 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6105617,M/S PRABHAT TRADERS,11-May-2026 02:47 PM,Rejected-Finance,5TH LOWEST,09-Jun-2026 09:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6104243,M/S Singh Construction,11-May-2026 12:01 PM,Rejected-Finance,3RD LOWEST,09-Jun-2026 09:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6100105,M/S UNITE ENTERPRISES,11-May-2026 01:23 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,06-Jun-2026 01:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6103610,Om Vir Singh,11-May-2026 01:04 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,06-Jun-2026 01:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6103475,R.B.S. CONSTRUCTION,10-May-2026 10:42 PM,Rejected-Finance,7TH LOWEST,09-Jun-2026 09:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6105592,SHIVAM ENTERPRISES,11-May-2026 02:48 PM,Rejected-Finance,4TH LOWEST,09-Jun-2026 09:12 PM,AOC
