EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"40,000",Yes,fixed,,SSP ALIGARH,ALIGARH,"1,770",SSP ALIGARH,ALIGARH,No,Director General of U.P. Police||Director General of Police HQ||ADG Law and Order||ADG Zone Agra||IG Range Aligarh||DIG / SSP / SP Aligarh,L-04/2026,2026_UPPOL_1143647_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Offline,No,No,No,Supply and Repairing of Computer/ Printer related Equipment,Supply and Repairing of Computer/ Printer related Equipment at the police station of Aligarh and head office,Please refer tender documents ,NA ,,Repair and Maintenance Services,Supply and Repairing of Computer/ Printer related  ,Tender,90.0,365.0,POLICE LINES ALIGARH,202001.0,NA ,NA ,NA ,ETENDER CELL POLICE LINE ALIGARHALIGARH,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,29-Apr-2026 05:00 PM,11-May-2026 10:00 AM,29-Apr-2026 05:00 PM,08-May-2026 05:00 PM,NA ,NA ,29-Apr-2026 05:00 PM,08-May-2026 05:00 PM,27-May-2026 10:00 AM,SSP ALIGARH,SSP POLICE LINE ALIGARH,1.0,DD - Demand Draft,AOC,NEERAJ KUMAR JADAUN,Internal,"PRAVEEN KUMAR, NARENDRA SINGH YADAV,ANUBHAV KUMAR TRIPATHI",PRAVEEN KUMAR,26-May-2026 08:09 PM,27-May-2026 10:00 AM,techsummary_2136415.pdf (972.15 KB),Finance,Admitted for technical evaluation,PRAVEEN KUMAR,01-Jul-2026 03:49 PM,,BOQ Comparative Chart,NEERAJ KUMAR JADAUN,Internal,"PRAVEEN KUMAR, NARENDRA SINGH YADAV, ANUBHAV KUMAR TRIPATHI",PRAVEEN KUMAR,01-Jul-2026 04:08 PM,finsummary_2136415.pdf (2811.99 KB),Technical,ADMITTED TECHNICAL EVALUATION,PRAVEEN KUMAR,26-May-2026 07:57 PM,,1,6098555,M/S ALIGARH COMPUTERSS,08-May-2026 11:49 AM,Accepted-AOC,Due to the lowest cost,01-Jul-2026 04:43 PM,1.0,6098555.0,M/S ALIGARH COMPUTERSS,INR,"133,395.81",Director General of U.P. Police||Director General of Police HQ||ADG Law and Order||ADG Zone Agra||IG Range Aligarh||DIG / SSP / SP Aligarh,2026_UPPOL_1143647_1,L-04/2026,Supply and Repairing of Computer/ Printer related Equipment,01-Jul-2026,"INR 133,395.81",290.0,PRAVEEN KUMAR,01-Jul-2026 04:43 PM,Wocomputer.pdf (2646.00 KB),Due to lowest cost,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance/Boq,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6099557,M/S M R TRADERS,08-May-2026 04:27 PM,Rejected-Technical,All the documents are not correct,26-May-2026 08:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6091466,M/S V K COMPUTERS,05-May-2026 06:13 PM,Rejected-Finance,It is rejected due to the highest cost.,01-Jul-2026 04:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,6088603,Rahul Digital Solution,08-May-2026 12:26 PM,Rejected-Finance,It is rejected due to the higher cost.,01-Jul-2026 04:08 PM,,,,,,,,,,,,,,,,,AOC
