S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,SBI Bank,13-May-2026 06:00 PM,28-May-2026 04:00 PM,13-May-2026 06:00 PM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 06:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_47,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,"2,354",Nil,Nil,No,"Construction of interlocking paving from the main road at Gadhiya Chhavi village to Sirsa Nagla, in Kalan Development Block.","Construction of interlocking paving from the main road at Gadhiya Chhavi village to Sirsa Nagla, in Kalan Development Block.",Please refer Tender documents. ,NA ,"37,35,000",Civil Works - Roads,NA ,Tender,90.0,90.0,KALAN SHAHJAHANPUR,242127.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,14-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,"75,000",No,fixed,,Nil,Nil,AOC,Finance,FINANCIAL BID OPEN,RAJESH KUMAR,26-Jun-2026 10:16 PM,finance_2148896.pdf,BOQ Comparative Chart,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILYEEREDDIVSIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,26-Jun-2026 10:22 PM,finsummary_2148896.pdf (1177.29 KB),1.0,6147752.0,AJAY KUMAR MISHRA,INR,"4,363,219",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_47,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,"Construction of interlocking paving from the main road at Gadhiya Chhavi village to Sirsa Nagla, in Kalan Development Block.",1,6147752,AJAY KUMAR MISHRA,28-May-2026 08:17 AM,Accepted-AOC,DUE TO LOWER RATE,16-Jul-2026 04:32 PM,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,10-Jun-2026 03:23 PM,16-Jun-2026 12:30 PM,techsummary_2148896.pdf (636.11 KB),08-Jul-2026,"INR 4,363,219",90.0,RAJESH KUMAR,16-Jul-2026 04:32 PM,SH47.pdf (827.00 KB),"AOC OF THE WORK - Construction of interlocking paving from the main road at Gadhiya Chhavi village to Sirsa Nagla, in Kalan Development Block.",Technical,bid open,RAJESH KUMAR,10-Jun-2026 03:20 PM,technical_2148896.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6148319,M/S JAI MAA ENTERPRISES,28-May-2026 11:39 AM,Rejected-Finance,DUE TO HIGHER RATE,26-Jun-2026 10:22 PM,,,,,,,,,,,,,,,,,,,,AOC
