S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow,16/UPPCL/GM-7/E-TENDER/2026-27 Dated-16.04.2026,2026_UPPRC_1142376_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"17,700",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,BIDDOC,"14,29,000",No,fixed,,Nil,Nil,"General Manager, Zone-7, Lucknow","General Manager, Zone-7, U.P. Projects Corporation Ltd. Lucknow. Gomti Barrage, Left Bank, Gomti Nagar Lucknow.",27-Apr-2026 06:00 PM,04-May-2026 04:00 PM,27-Apr-2026 06:00 PM,04-May-2026 02:00 PM,NA ,NA ,27-Apr-2026 06:00 PM,04-May-2026 02:00 PM,20-May-2026 04:00 PM,Upgradation of Non-Residential building in Police Thana Raniya office upgradation from reporting police chowki Raniya under Akbarpur Thana at District-Kanpur Dehat (U.P.),Upgradation of Non-Residential building in Police Thana Raniya office upgradation from reporting police chowki Raniya under Akbarpur Thana at District-Kanpur Dehat (U.P.),Please refer Tender documents. ,NA ,"7,14,38,000",Civil Works - Buildings,NA ,Tender,90.0,365.0,District-Kanpur Dehat (U.P.),209101.0,NA ,NA ,NA ,Lucknow,No ,No,AOC,Technical,Enclosed,RAKESH VERMA,19-May-2026 08:25 PM,technical_2133741.pdf,"General Manager, Zone-7, Lucknow",Internal,"General Manager, Zone-3, Ayodhya, Project Manager, Unit-10, Kanpur, Accountant, Unit-10, Kanpur",RAKESH VERMA,03-Jul-2026 11:36 AM,finsummary_2133741.pdf (2942.77 KB),Finance,Enclosed,RAKESH VERMA,03-Jul-2026 11:32 AM,finance_2133741.pdf,BOQ Comparative Chart,"General Manager, Zone-7, Lucknow",Internal,"General Manager, Zone-3, Ayodhya, Project Manager, Unit-10, Kanpur, Accountant, Unit-10, Kanpur",RAKESH VERMA,19-May-2026 08:29 PM,20-May-2026 04:00 PM,techsummary_2133741.pdf (2942.77 KB),03-Jul-2026,"INR 70,973,190.21",365.0,RAKESH VERMA,03-Jul-2026 11:40 AM,AOC16.pdf (739.00 KB),Enclosed,1.0,6082157.0,M/S KAMAKHYA KIRTI ENTERPRISES,INR,"70,973,190.21",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow,2026_UPPRC_1142376_1,16/UPPCL/GM-7/E-TENDER/2026-27 Dated-16.04.2026,Upgradation of Non-Residential building in Police Thana Raniya office upgradation from reporting police chowki Raniya under Akbarpur Thana at District-Kanpur Dehat (U.P.),1,6086153,M K INDIA INFRAESTATE PRIVATE LIMITED,04-May-2026 12:07 AM,Rejected-AOC,Accepted,03-Jul-2026 11:40 AM,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6082157,M/S KAMAKHYA KIRTI ENTERPRISES,02-May-2026 02:08 PM,Accepted-AOC,Accepted,03-Jul-2026 11:40 AM,AOC
