Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,38/UPPCL/GM-1/2026-27/E-TENDER Dated 02-07-2026,2026_UPPRC_1167257_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BIDDOC,"11,800",Nil,Nil,No,"1,40,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Renovation Works of Pt. Deen Dayal Upadhyay Govt. Model Inter College at Mudiladih District-Sonebhadra (U.P.),Renovation Works of Pt. Deen Dayal Upadhyay Govt. Model Inter College at Mudiladih District-Sonebhadra (U.P.),Please refer Tender documents. ,NA ,"70,11,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,District-Sonebhadra,231216.0,NA ,NA ,NA ,Prayagraj,No ,No,"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230/1A, Mehdaury, Teliyarganj, District-Prayagraj",08-Jul-2026 11:00 AM,13-Jul-2026 03:00 PM,08-Jul-2026 11:00 AM,13-Jul-2026 02:00 PM,NA ,NA ,08-Jul-2026 11:00 AM,13-Jul-2026 02:00 PM,16-Jul-2026 01:00 PM,AOC,Technical,Enclosed,SURESH CHANDRA YADAV,15-Jul-2026 12:12 PM,technical_2189254.pdf,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-16, Mirzapur, Accountant Unit-16, Mirzapur, Project Manager Unit-2, Prayagraj,",SURESH CHANDRA YADAV,29-Jul-2026 03:29 PM,finsummary_2189254.pdf (1161.40 KB),Finance,Enclosed,SURESH CHANDRA YADAV,29-Jul-2026 03:22 PM,finance_2189254.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-16, Mirzapur, Accountant Unit-3, Varanasi, Project Manager Unit-2, Prayagraj",SURESH CHANDRA YADAV,15-Jul-2026 12:17 PM,16-Jul-2026 01:00 PM,techsummary_2189254.pdf (1161.40 KB),29-Jul-2026,"INR 6,970,180.84",180.0,SURESH CHANDRA YADAV,29-Jul-2026 03:36 PM,Agr49.pdf (529.00 KB),Enclosed,1,6248142,M/S MAHENDRA SINGH,12-Jul-2026 09:18 AM,Rejected-AOC,Accept,29-Jul-2026 03:35 PM,1.0,6248708.0,M/S S K V ENTERPRISES,INR,"6,970,180.84",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1167257_1,38/UPPCL/GM-1/2026-27/E-TENDER Dated 02-07-2026,Renovation Works of Pt. Deen Dayal Upadhyay Govt. Model Inter College at Mudiladih District-Sonebhadra (U.P.),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6248708,M/S S K V ENTERPRISES,12-Jul-2026 04:17 PM,Accepted-AOC,Accept,29-Jul-2026 03:35 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6250242,SS Enterprises,13-Jul-2026 01:45 PM,Rejected-Technical,Reject,15-Jul-2026 12:17 PM,,,,,,,,,,AOC
