Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
30-Jul-2026,"INR 3,970,897.07",180.0,MuneshKumar Lodhi,30-Jul-2026 09:32 PM,9.pdf (416.00 KB),a,1.0,6187592.0,SIVI K.R. ENTERPRISES,INR,"3,970,897.07",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,2026_REDUP_1155884_9,26/RED/Tender/File No/Bond Clerk/2026-27Dt. 07.04.26,Vikas Khand Semeriyawa mein jagdishpur urf lahuradeva prathmik school ke bagal se harijan basti avm jawaharlal tripathi ke makan tak interlocking karya,1,6173247,M/s Vishwakarma Construction,06-Jun-2026 01:45 AM,Rejected-Finance,r,30-Jul-2026 09:31 PM,Technical,c,MuneshKumar Lodhi,06-Jul-2026 01:38 PM,,ER MUNESH KUMAR LODHI,Internal,se,MuneshKumar Lodhi,30-Jul-2026 09:31 PM,finsummary_2165429.pdf (416.07 KB),Finance,c,MuneshKumar Lodhi,13-Jul-2026 01:40 PM,,BOQ Comparative Chart,Er. Munesh Kumar Lodhi,Internal,se,MuneshKumar Lodhi,06-Jul-2026 01:50 PM,13-Jul-2026 12:00 PM,techsummary_2165429.pdf (119.08 KB),AOC,SE RED BASTI,O/O SE RED BASTI,01-Jun-2026 12:00 PM,12-Jun-2026 12:30 PM,01-Jun-2026 12:00 PM,12-Jun-2026 12:00 PM,01-Jun-2026 12:00 PM ,12-Jun-2026 12:00 PM ,01-Jun-2026 12:00 PM,12-Jun-2026 12:00 PM,13-Jul-2026 12:00 PM,"77,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,26/RED/Tender/File No/Bond Clerk/2026-27Dt. 07.04.26,2026_REDUP_1155884_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical,1.0,date,Date,,1.0,SBI Bank,Vikas Khand Semeriyawa mein jagdishpur urf lahuradeva prathmik school ke bagal se harijan basti avm jawaharlal tripathi ke makan tak interlocking karya,Vikas Khand Semeriyawa mein jagdishpur urf lahuradeva prathmik school ke bagal se harijan basti avm jawaharlal tripathi ke makan tak interlocking karya,as per sbd ,NA ,"38,44,000",Civil Works,NA ,Tender,90.0,180.0,WORKS,272001.0,NA ,NA ,NA ,O/O SE RED BASTI,No ,No,"2,714",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,6187592,SIVI K.R. ENTERPRISES,12-Jun-2026 11:22 AM,Accepted-AOC,a,30-Jul-2026 09:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
