Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE BHADOHI,15/RED/Tender/File no.-01/2026-27 Dt.07-04-2026,2026_REDUP_1147327_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Mamahar Bajar se Kanjad basti se sagara talab hote huye Mamahar Babhnauti PMGSY road tak Interlocking kary.,ROAD,Please refer Tender documents. ,NA ,"38,25,000",Civil Works - Roads,NA ,Rate Contract,90.0,NA ,BHADOHI,221304.0,NA ,NA ,NA ,MIRZAPUR,No ,No,11-May-2026 06:00 PM,18-May-2026 12:30 PM,11-May-2026 06:00 PM,18-May-2026 12:00 PM,NA ,NA ,11-May-2026 06:00 PM,18-May-2026 12:00 PM,01-Jun-2026 12:00 PM,"76,000",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,SBD,SUPERINTENDING ENGINEER,PUTALI GHAR MIRZAPUR,"1,326",Nil,Nil,No,AOC,ARVIND KUMAR,Internal,"Pragya Parmita, Noor Alam R B Tiwary",RAM BHAROSHA TIWARY,21-Jul-2026 11:35 AM,finsummary_2146589.pdf (1010.23 KB),Technical,TENDER OPENED,RAM BHAROSHA TIWARY,26-May-2026 03:19 PM,technical_2146589.pdf,ARVIND KUMAR,Internal,"PRAGYA PARMITA, NOOR ALAM, R.B.TIWARY",RAM BHAROSHA TIWARY,26-May-2026 03:24 PM,01-Jun-2026 12:00 PM,techsummary_2146589.pdf (223.47 KB),Finance,financial bid opened,RAM BHAROSHA TIWARY,21-Jul-2026 11:32 AM,finance_2146589.pdf,BOQ Comparative Chart,1,6119233,M/S AMBUJ CONSTRUCTION,17-May-2026 11:41 PM,Rejected-Finance,high rate,21-Jul-2026 11:35 AM,1.0,6119209.0,M/S SUNITA ENTERPRISES,INR,"4,503,916",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE BHADOHI,2026_REDUP_1147327_8,15/RED/Tender/File no.-01/2026-27 Dt.07-04-2026,Mamahar Bajar se Kanjad basti se sagara talab hote huye Mamahar Babhnauti PMGSY road tak Interlocking kary.,21-Jul-2026,"INR 4,503,916",90.0,RAM BHAROSHA TIWARY,21-Jul-2026 11:38 AM,MamhaeAoc.pdf (1099.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6119209,M/S SUNITA ENTERPRISES,16-May-2026 07:25 PM,Accepted-AOC,Aoc,21-Jul-2026 11:38 AM,,,,,,,,,,,,,,,,,AOC
