Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Er. Bharat Ram,Internal,,Bharat Ram,06-Mar-2026 03:06 PM,06-Mar-2026 04:30 PM,techsummary_2069437.pdf (671.33 KB),10-Mar-2026,"INR 1,339,570.8",20.0,Bharat Ram,16-Jul-2026 02:53 PM,ramnagra1111.pdf (141.00 KB),Technical,Attached,Bharat Ram,06-Mar-2026 12:53 PM,,1.0,Revocation,Attached,05-Mar-2026 10:28 PM,Sudhhipatra.pdf ,20.77,Technical Opening,Finance,Attached,Bharat Ram,10-Mar-2026 12:56 PM,,BOQ Comparative Chart,Er. Bharat Ram,Internal,,Bharat Ram,10-Mar-2026 12:59 PM,finsummary_2069437.pdf (83.18 KB),1.0,5898756.0,AKANKSHA ASSOCIATES,INR,"1,339,570.8",1,5898756,AKANKSHA ASSOCIATES,20-Feb-2026 11:47 AM,Accepted-AOC,L1,16-Jul-2026 02:53 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",2026_UPIDC_1112264_21,15/EE/2025-26,Silt Clearance work of Ramnagara Drain From Km. 0.000 to 4.000 in Distt Balrampur,AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Document,13-Feb-2026 10:00 AM,20-Feb-2026 03:00 PM,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,06-Mar-2026 04:30 PM,854.0,Nil,Nil,No,Silt Clearance work of Ramnagara Drain From Km. 0.000 to 4.000 in Distt Balrampur,As Per Tender Notice,As Per Tender Notice ,NA ,"18,18,000",Civil Works,NA ,Tender,90.0,20.0,Balrampur,271201.0,NA ,NA ,NA ,Balrampur,No ,No,"36,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",15/EE/2025-26,2026_UPIDC_1112264_21,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Flood Division Balrampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5901600,BEENA CONSTRUCTION,20-Feb-2026 01:41 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:06 PM,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5896792,LALTA PRASAD MAURYA,20-Feb-2026 11:44 AM,Rejected-Finance,L4,10-Mar-2026 12:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5898582,M/S AJEET KUMAR SINGH,20-Feb-2026 09:13 AM,Rejected-Finance,L6,10-Mar-2026 12:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5901995,M/s Dhruv Singh Contractor,20-Feb-2026 01:12 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:06 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5898919,M/S OM SAI TRADERS,19-Feb-2026 08:48 PM,Rejected-Finance,L2,10-Mar-2026 12:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5900412,M/S SANTOSH KUMAR CONTRECTOR AND GENRERAL,20-Feb-2026 11:11 AM,Rejected-Finance,L3,10-Mar-2026 12:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5898652,M/S SHIVAM UPADHYAY CONSTRUCTION AND GENERAL ORDER SUPPLIER,19-Feb-2026 08:04 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:06 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5891738,M/s TRIPATHI CONSTRUCATION,18-Feb-2026 12:12 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:06 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5891674,Ram Charan Verma,19-Feb-2026 04:16 PM,Rejected-Finance,L5,10-Mar-2026 12:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
