Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,299/RED/TENDER/26-27 Dt-30-04-2026,2026_REDUP_1153428_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,000",Nil,Nil,No,25-May-2026 03:45 PM,04-Jun-2026 12:30 PM,25-May-2026 03:45 PM,04-Jun-2026 12:00 PM,NA ,NA ,25-May-2026 03:45 PM,04-Jun-2026 12:00 PM,17-Jun-2026 12:05 PM,"18,000",Yes,fixed,,Nil,Nil,Er Narendra Chaudhary,Vikash Bhawan Unnao,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Gram Panchayat Maharani Khera Mzra Ramdas Khera me Main Damar Road se Santu Savita ke Darawaje tak interlocking evm Nali ka Nirman karye,Gram Panchayat Maharani Khera Mzra Ramdas Khera me Main Damar Road se Santu Savita ke Darawaje tak interlocking evm Nali ka Nirman karye,Plz Refer Doc ,NA ,"8,97,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,1.0,SBI Bank,AOC,Finance,Summrary,Narendra chaudhary,21-Jul-2026 04:55 PM,finance_2160818.pdf,BOQ Comparative Chart,Er Narendra Chaudhry,Internal,,Narendra chaudhary,17-Jun-2026 12:00 PM,17-Jun-2026 12:05 PM,techsummary_2160818.pdf (535.51 KB),Technical,Summary,Narendra chaudhary,17-Jun-2026 11:58 AM,technical_2160818.pdf,Er Narendra Chaudhry,Internal,,Narendra chaudhary,21-Jul-2026 04:56 PM,finsummary_2160818.pdf (970.17 KB),21-Jul-2026,"INR 896,249.28",90.0,Narendra chaudhary,21-Jul-2026 04:59 PM,Mzra0007.pdf (970.00 KB),l1,1.0,6158282.0,M/S RAHUL PRATAP SINGH,INR,"896,249.28",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1153428_7,299/RED/TENDER/26-27 Dt-30-04-2026,Gram Panchayat Maharani Khera Mzra Ramdas Khera me Main Damar Road se Santu Savita ke Darawaje tak interlocking evm Nali ka Nirman karye,1,6160013,M/S DIPTI KATIYAR,03-Jun-2026 11:06 AM,Rejected-AOC,l2,21-Jul-2026 04:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6158282,M/S RAHUL PRATAP SINGH,01-Jun-2026 08:37 PM,Accepted-AOC,l1,21-Jul-2026 04:59 PM,AOC
