Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Fabrication of protuding piece,Fabrication of protuding piece,as per tender documents ,NA ,"26,09,322",Metal Fabrication,CANAL ,Tender,90.0,30.0,"KODA PUMP CANAL,FATEHPUR",212659.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,No ,No,"44,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,NIT,EXECUTIVE ENGINEER MLCD KANPUR,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,1,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,07-Jul-2026 02:00 PM,17-Jul-2026 11:00 AM,07-Jul-2026 02:00 PM,16-Jul-2026 02:00 PM,07-Jul-2026 02:00 PM ,13-Jul-2026 02:00 PM ,07-Jul-2026 02:00 PM,16-Jul-2026 02:00 PM,22-Jul-2026 03:00 PM,354.0,Nil,Nil,No,1.0,SBI Bank,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,07/EE/MLCD/KNP/KODA/26-27,2026_UPIDM_1166953_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,technical bid opened,GYANENDRA MANI TRIPATHI,22-Jul-2026 11:28 AM,technical_2189260.pdf,GYANENDRA MANI TRIPATHI,Internal,"EXECUTIVE ENGINEER MLCD KANPUR,EXECUTIVE ENGINEER TCD KANPUR,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,23-Jul-2026 04:30 PM,finsummary_2189260.pdf (445.22 KB),Finance,financial opened,GYANENDRA MANI TRIPATHI,23-Jul-2026 02:57 PM,finance_2189260.pdf,BOQ Comparative Chart,GYANENDRA MANI TRIPATHI,Internal,"EXECUTIVE ENGINEER MLCD KANPUR,EXECUTIVE ENGINEER TUBEWELL CONSTRUCTION DIVISION KANPUR,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,22-Jul-2026 11:56 AM,22-Jul-2026 03:00 PM,techsummary_2189260.pdf (445.22 KB),29-Jul-2026,"INR 2,351,000",30.0,GYANENDRA MANI TRIPATHI,24-Jul-2026 11:34 AM,kodaaoc7.pdf (250.00 KB),.FINANCIAL OPENED,1.0,6254120.0,M/s Jai Contraction,14-Jul-2026 08:51 PM,Accepted-AOC,LOWEST RATE QUOTED,24-Jul-2026 11:34 AM,1.0,6254120.0,M/s Jai Contraction,INR,"2,351,000",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,2026_UPIDM_1166953_1,07/EE/MLCD/KNP/KODA/26-27,Fabrication of protuding piece,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,2,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6255196.0,Singh Contractor,15-Jul-2026 11:22 AM,Rejected-Finance,HIGHER RATE QUOTED,23-Jul-2026 04:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6256159.0,swastik traders,15-Jul-2026 04:51 PM,Rejected-Finance,HIGHER RATE QUOTE0,23-Jul-2026 04:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
