Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,NIT,Gorakhpur Industrial Development Authority,522/GIDA/2026-27 DT. 24.04.2026,2026_UGIDA_1144389_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,99,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"2,950",Nil,Nil,No,CEO GIDA,GIDA SECTOR 7 GIDA GORAKHPUR,Fixing of W Metal Beam for Safety Work at Sector 27 GIDA Gorakhpur,Fixing of W Metal Beam for Safety Work at Sector 27 GIDA Gorakhpur,Please refer Tender documents. ,NA ,"1,79,77,270",Civil Works,NA ,Tender,90.0,180.0,GIDA GORAKHPUR,273212.0,NA ,NA ,NA ,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,No ,No,04-May-2026 11:00 AM,26-May-2026 04:00 PM,04-May-2026 11:00 AM,26-May-2026 03:00 PM,NA ,NA ,04-May-2026 11:00 AM,26-May-2026 03:00 PM,24-Jun-2026 10:30 AM,AOC,Finance,BID OPENED,VIBHOR TYAGI,24-Jun-2026 01:48 PM,,BOQ Comparative Chart,CEO GIDA,Internal,M(C)GM(F)ACEO,vivek kumar verma,24-Jun-2026 10:27 AM,24-Jun-2026 10:30 AM,techsummary_2138166.pdf (427.24 KB),Technical,BID OPENED,VIBHOR TYAGI,26-May-2026 07:34 PM,,CEO GIDA,Internal,M(C)GM(F)ACEO,vivek kumar verma,07-Jul-2026 07:50 PM,finsummary_2138166.pdf (671.03 KB),07-Jul-2026,"INR 13,982,720.79",180.0,vivek kumar verma,07-Jul-2026 07:53 PM,522.pdf (671.00 KB),1,6143670,AMBE INFRAPROJECTS PRIVATE LIMITED,26-May-2026 02:49 PM,Accepted-AOC,L1,07-Jul-2026 07:53 PM,Gorakhpur Industrial Development Authority,2026_UGIDA_1144389_1,522/GIDA/2026-27 DT. 24.04.2026,Fixing of W Metal Beam for Safety Work at Sector 27 GIDA Gorakhpur,1.0,6143670.0,AMBE INFRAPROJECTS PRIVATE LIMITED,INR,"13,982,720.79",AOC
,,.pdf,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6143006,DESCON INFRASTRUCTURES PRIVATE LIMITED,26-May-2026 02:34 PM,Rejected-Finance,L4,07-Jul-2026 07:50 PM,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6142021,M/S AGRAWAL ASSOCIATE,26-May-2026 12:48 PM,Rejected-Finance,L5,07-Jul-2026 07:50 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6141332,M/S CHANDRAMOHAN UPADHYAY,26-May-2026 01:25 PM,Rejected-Finance,L3,07-Jul-2026 07:50 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6143381,R.K.TRADERS & CONSTRUCTION PRIVATE LIMITED,26-May-2026 01:48 PM,Rejected-Finance,L2,07-Jul-2026 07:50 PM,,,,,,,,,,AOC
