Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1147837_8,Notice No. 34 date 06-04-2026,Construction of Interlocking Pavement in the Colony near Tanvi Clinic located at Narayan Das Ka Pura Devnagar Chhatnag Ward No 45 from Vishnukant Mishra house to Om Prakash Pandey house,1.0,6118088.0,SHIV CONSTRUCTION COMPANY,INR,"1,405,067.3",1,6117130,M/S SURESH KUMAR YADAV,18-May-2026 12:52 PM,Rejected-Finance,Higher,06-Jul-2026 12:40 PM,25-Jul-2026,"INR 1,405,067.3",90.0,Satyaprakash Mishra,28-Jul-2026 08:00 PM,shiv.pdf (960.00 KB),aoc,Er SP Mishra,Internal,,Satyaprakash Mishra,16-Jun-2026 07:18 PM,19-Jun-2026 01:00 PM,techsummary_2148000.pdf (573.02 KB),Finance,d,Satyaprakash Mishra,20-Jun-2026 03:19 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,06-Jul-2026 12:40 PM,finsummary_2148000.pdf (457.84 KB),Technical,d,Satyaprakash Mishra,23-May-2026 03:21 PM,,AOC,12-May-2026 05:55 PM,23-May-2026 02:00 PM,12-May-2026 05:55 PM,22-May-2026 05:00 PM,NA ,NA ,12-May-2026 05:55 PM,22-May-2026 05:00 PM,19-Jun-2026 01:00 PM,eeredallahabad,eeredallahabad,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 34 date 06-04-2026,2026_REDUP_1147837_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"29,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,pdf,"2,500",Nil,Nil,No,1.0,Corrigendum date,Date,,Construction of Interlocking Pavement in the Colony near Tanvi Clinic located at Narayan Das Ka Pura Devnagar Chhatnag Ward No 45 from Vishnukant Mishra house to Om Prakash Pandey house,Construction of Interlocking Pavement in the Colony near Tanvi Clinic located at Narayan Das Ka Pura Devnagar Chhatnag Ward No 45 from Vishnukant Mishra house to Om Prakash Pandey house,Please refer Tender documents. ,NA ,"14,22,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,AOC
,,,,,,,,,2,6117129,NARAYAN CONSTRUCTION,16-May-2026 12:43 AM,Rejected-Finance,Higher,06-Jul-2026 12:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6118088,SHIV CONSTRUCTION COMPANY,16-May-2026 12:38 AM,Accepted-AOC,AWARD OF CONTRACT,28-Jul-2026 08:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
