Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"Under District Jaunpur, Construction of Interlocking Road up to Bhuidhara Link Road, Lot No 4","Under District Jaunpur, Construction of Interlocking Road up to Bhuidhara Link Road, Lot No 4",Please refer Tender documents. ,NA ,"20,57,000",Civil Works,NA ,Tender,90.0,90.0,Jaunpur,222001.0,"EE RED Jaunpur, Vikas Bhawan, Jaunpur ","EE RED Jaunpur, Vikas Bhawan, Jaunpur  ",25-May-2026 11:00 AM ,"EE RED Jaunpur, Vikas Bhawan, Jaunpur",No ,No,"41,140",No,percentage,2.0%,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,323/EE RED Jaunpur/26-27 Dt 11/05/2026,2026_REDUP_1151292_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,944.0,Nil,Nil,No,"EE RED Jaunpur, Vikas Bhawan, Jaunpur","EE RED Jaunpur, Vikas Bhawan, Jaunpur",21-May-2026 10:00 AM,27-May-2026 12:30 PM,21-May-2026 10:00 AM,27-May-2026 12:00 PM,NA ,NA ,21-May-2026 10:00 AM,27-May-2026 12:00 PM,10-Jun-2026 11:00 AM,1.0,SBI Bank,AOC,Er Neeraj Kumar EE RED Jaunpur,Internal,"Er Neeraj Kumar EE RED Jaunpur, Er Maya Shankar AE RED Jaunpur, Er Alok Kumar AE RED Jaunpur, Mr Jai Prakash DAO RED Jaunpur",Alok Kumar,04-Jun-2026 07:28 PM,10-Jun-2026 11:00 AM,techsummary_2156482.pdf (372.60 KB),Finance,Summary,Neeraj Kumar,10-Jun-2026 02:38 PM,,BOQ Comparative Chart,Er Neeraj Kumar EE RED Jaunpur,Internal,,Neeraj Kumar,08-Jul-2026 07:35 PM,finsummary_2156482.pdf (165.48 KB),Technical,Summary,Alok Kumar,29-May-2026 08:44 AM,,1,6136670,M/S AJEET KUMAR SINGH,25-May-2026 12:15 PM,Accepted-AOC,AOC,09-Jul-2026 09:03 AM,1.0,6136670.0,M/S AJEET KUMAR SINGH,INR,"2,405,128",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2026_REDUP_1151292_3,323/EE RED Jaunpur/26-27 Dt 11/05/2026,"Under District Jaunpur, Construction of Interlocking Road up to Bhuidhara Link Road, Lot No 4",09-Jul-2026,"INR 2,405,128",90.0,HEERA LAL,09-Jul-2026 09:03 AM,323_3.pdf (166.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6136676,SCS CONSTRUCTION,25-May-2026 12:09 PM,Rejected-Finance,Rejected,08-Jul-2026 07:35 PM,,,,,,,,,,,,,,,,AOC
