EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"26,000",No,fixed,,Nil,Nil,Construction of Interlocking road from Shri Ramapati Patel house to Shiv Mandir Interlocking in Majra Vajirabad in Village Jallupur,Construction of Interlocking road from Shri Ramapati Patel house to Shiv Mandir Interlocking in Majra Vajirabad in Village Jallupur,Please refer Tender documents. ,NA ,"12,58,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 26 date 06-04-2026,2026_REDUP_1147541_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,11-May-2026 06:55 PM,19-May-2026 02:00 PM,11-May-2026 06:55 PM,18-May-2026 05:00 PM,NA ,NA ,11-May-2026 06:55 PM,18-May-2026 05:00 PM,19-Jun-2026 01:00 PM,1.0,SBI Bank,eeredallahabad,eeredallahabad,1.0,Fee/PreQual/Technical,.pdf,pdf,"2,500",Nil,Nil,No,AOC,Technical,D,Satyaprakash Mishra,19-May-2026 02:56 PM,,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,03-Jul-2026 02:24 PM,finsummary_2146858.pdf (548.72 KB),Finance,d,Satyaprakash Mishra,20-Jun-2026 04:59 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,,Satyaprakash Mishra,16-Jun-2026 07:55 PM,19-Jun-2026 01:00 PM,techsummary_2146858.pdf (524.27 KB),31-Jul-2026,"INR 1,234,618.31",90.0,Satyaprakash Mishra,31-Jul-2026 02:07 PM,jallupur.pdf (603.00 KB),AWARD OF CONTRACT,1,6120130,B V CONSTRUCTION COMPANY,16-May-2026 02:57 PM,Rejected-Finance,Higher,03-Jul-2026 02:24 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1147541_1,Notice No. 26 date 06-04-2026,Construction of Interlocking road from Shri Ramapati Patel house to Shiv Mandir Interlocking in Majra Vajirabad in Village Jallupur,1.0,6117682.0,M/S KUSUM CONSTRUCTION,INR,"1,234,618.31",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,xls,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6120258,DEVI SHANKAR MISHRA,16-May-2026 01:04 PM,Rejected-Finance,Higher,03-Jul-2026 02:24 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6117682,M/S KUSUM CONSTRUCTION,16-May-2026 03:35 PM,Accepted-AOC,accepted,31-Jul-2026 02:07 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6120548,NEELAM ENTERPRISES,18-May-2026 03:05 PM,Rejected-Technical,Non Responsive,16-Jun-2026 07:55 PM,,,,,,,,,,AOC
