Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Technical Bid Open,AKHILESH KUMAR SINGH,08-Jun-2026 05:11 PM,,06-Jul-2026,"INR 847,613.17",60.0,AKHILESH KUMAR SINGH,18-Jul-2026 12:55 PM,Agreement09.pdf (393.00 KB),Agreement No 09/EE/2026-27,Akhilesh kumar singh,Internal,Gajendra Kumar Mourya,AKHILESH KUMAR SINGH,10-Jun-2026 04:16 PM,10-Jun-2026 04:30 PM,techsummary_2166077.pdf (526.00 KB),"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Roorkee||MGCC Division-3, Amroha",2026_UPIDC_1151892_14,01/EE2026-27,LOT 07 CONSTRUCTION V.R.B AT K.M. 12.500 OF GOVERDHANPUR DY. M.G.C. STAGE II,1,6174755,INOFINITY INFRATECH,06-Jun-2026 01:42 PM,Accepted-AOC,Agreement No 09/2026-27,18-Jul-2026 01:15 AM,Finance,Financial Bid Open,AKHILESH KUMAR SINGH,10-Jun-2026 05:02 PM,,BOQ Comparative Chart,Akhilesh kumar singh,Internal,Gajendra Kumar Mourya,AKHILESH KUMAR SINGH,02-Jul-2026 04:48 PM,finsummary_2166077.pdf (528.52 KB),1.0,6174755.0,INOFINITY INFRATECH,INR,"847,613.17",AOC,LOT 07 CONSTRUCTION V.R.B AT K.M. 12.500 OF GOVERDHANPUR DY. M.G.C. STAGE II,LOT 07 CONSTRUCTION V.R.B AT K.M. 12.500 OF GOVERDHANPUR DY. M.G.C. STAGE II,Please refer Tender documents. ,NA ,"9,00,000",Civil Works - Canal,NA ,Tender,90.0,NA ,MGCCD-3 Amroha,244221.0,NA ,NA ,NA ,MGCCD-3 Amroha,No ,No,E.E,MGCCD-3 Amroha,01-Jun-2026 02:00 PM,06-Jun-2026 04:30 PM,01-Jun-2026 02:00 PM,06-Jun-2026 04:00 PM,NA ,NA ,01-Jun-2026 02:00 PM,06-Jun-2026 04:00 PM,10-Jun-2026 04:30 PM,"18,000",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical Bid,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Roorkee||MGCC Division-3, Amroha",01/EE2026-27,2026_UPIDC_1151892_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,854.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6174863,M/s Shree Dauji Enterprises,06-Jun-2026 03:50 PM,Rejected-Finance,L2,02-Jul-2026 04:48 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,AOC
