Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
25-May-2026 06:00 PM,01-Jun-2026 03:00 PM,25-May-2026 06:00 PM,01-Jun-2026 02:00 PM,NA ,NA ,25-May-2026 06:00 PM,01-Jun-2026 02:00 PM,06-Jun-2026 02:25 PM,1,Fee/PreQual/Technical,.pdf,Notice,1,FDR - Fixed Deposit,Construction of Proposed Building of Community Hall in Block-Sohanw Village Baghauna Kala District Ballia.,Construction of Proposed Building of Community Hall in Block-Sohanw Village Baghauna Kala District Ballia.,Please refer tender Documents ,NA ,"60,97,000",Civil Works,NA ,Tender,90.0,NA ,Ballia,275101.0,NA ,NA ,NA ,Executive Engineer UPSCIDC Ltd Azamgarh,No ,No,Executive Engineer UPSCIDC Ltd Azamgarh,Maa Shanti Niwas Opp. Dr. Javed Aarajibagh Azamgarh 276001,"2,360",UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,No,"1,22,000",No,fixed,,UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,193/EE/Ballia/E-Tender/2026-27 Dt. 13.05.2026,2026_SCIDC_1148101_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,"Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.,",Madan Singh,06-Jun-2026 02:24 PM,06-Jun-2026 02:25 PM,techsummary_2161074.pdf (219.29 KB),Finance,Financial,Madan Singh,06-Jun-2026 05:50 PM,finance_2161074.pdf,BOQ Comparative Chart,"Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.,",Madan Singh,06-Jun-2026 05:53 PM,finsummary_2161074.pdf (218.97 KB),Technical,Tech,Madan Singh,06-Jun-2026 02:22 PM,technical_2161074.pdf,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,2026_SCIDC_1148101_2,193/EE/Ballia/E-Tender/2026-27 Dt. 13.05.2026,Construction of Proposed Building of Community Hall in Block-Sohanw Village Baghauna Kala District Ballia.,1.0,6151699.0,VINA CONSTRUCTION,INR,"6,080,538.1",1,6157093,KHUSHI CONSTRUCTION,31-May-2026 07:37 PM,Rejected-Finance,High Rate,06-Jun-2026 05:53 PM,09-Jun-2026,"INR 6,080,538.1",180.0,Madan Singh,27-Jul-2026 06:16 PM,Order.pdf (945.00 KB),Construction of Proposed Building of Community Hall in Block-Sohanw Village Baghauna Kala District Ballia.,AOC
,,,,,,,,,2,Finance,.xls,Financial,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6151699,VINA CONSTRUCTION,29-May-2026 04:21 PM,Accepted-AOC,Below Rate,27-Jul-2026 06:17 PM,,,,,,,,AOC
