Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
EE RED Jhansi,EE RED Jhansi,854.0,Nil,Nil,No,23-May-2026 05:00 PM,30-May-2026 03:30 PM,23-May-2026 05:00 PM,30-May-2026 12:00 PM,NA ,NA ,23-May-2026 05:00 PM,30-May-2026 12:00 PM,17-Jun-2026 12:30 PM,Ward no 50 Dadiyapura Shiv Shanti Colony main bharti Soni se govind das va kuchiya ji ke makan va main road tak apex road va nali nirman karya,Ward no 50 Dadiyapura Shiv Shanti Colony main bharti Soni se govind das va kuchiya ji ke makan va main road tak apex road va nali nirman karya,Please refer Tender documents. ,NA ,"13,57,000",Civil Works,NA ,Tender,90.0,90.0,Ward no 50 Dadiyapura Shiv Shanti Colony main bhar,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1.0,SBI Bank,"28,000",Yes,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,81/EE/RED/Tender/25-26 Dt. 08.04.2026,2026_REDUP_1152650_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,sbd,AOC,Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,06-Jul-2026 05:13 PM,finsummary_2159327.pdf (401.70 KB),Technical,FINAL,RAJNEESH KUMAR,11-Jun-2026 06:30 PM,,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-Jun-2026 06:32 PM,17-Jun-2026 12:30 PM,techsummary_2159327.pdf (808.39 KB),Finance,final,Chaman Srivastava,06-Jul-2026 05:10 PM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1152650_2,81/EE/RED/Tender/25-26 Dt. 08.04.2026,Ward no 50 Dadiyapura Shiv Shanti Colony main bharti Soni se govind das va kuchiya ji ke makan va main road tak apex road va nali nirman karya,1.0,6145181.0,M/S PAWAN SHIVHARE CONTRACTOR,INR,"1,348,497",1,6145196,M/S MAA SHAKUNTALA CONSTRUCTION,28-May-2026 11:51 AM,Rejected-Finance,N,06-Jul-2026 05:13 PM,06-Jul-2026,"INR 1,348,497",90.0,Chaman Srivastava,06-Jul-2026 05:16 PM,wardno50dadiyapura.pdf (402.00 KB),FINAL,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6145181,M/S PAWAN SHIVHARE CONTRACTOR,28-May-2026 12:21 PM,Accepted-AOC,Y,06-Jul-2026 05:16 PM,,,,,,,,AOC
