Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
07-Jul-2026,"INR 1,059,119",30.0,SYED SHAHNAWAZ ALI KIRMANI,08-Jul-2026 06:25 PM,aocB.pdf (1282.00 KB),aoc,1,6193855,M/S Harish Kumar Contractor,14-Jun-2026 08:50 PM,Accepted-AOC,aoc,08-Jul-2026 06:26 PM,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-4, Amroha",2026_UPIDC_1158959_7,02/EE/2026-27,CONSTRUCTION OF V.R.B AT KM. 27.100 OF DINGARPUR DY. UNDER PROJECT M.G.C. STAGE-II,1.0,6193855.0,M/S Harish Kumar Contractor,INR,"1,059,119",Technical,Technical,SYED SHAHNAWAZ ALI KIRMANI,18-Jun-2026 10:24 AM,,S.S.A. KIRMANI,Internal,EEMANOJKUMAR13,SYED SHAHNAWAZ ALI KIRMANI,07-Jul-2026 11:32 AM,finsummary_2172211.pdf (672.35 KB),Finance,Finance,SYED SHAHNAWAZ ALI KIRMANI,07-Jul-2026 11:27 AM,,BOQ Comparative Chart,S.S.A. KIRMANI,Internal,EEMANOJKUMAR13,SYED SHAHNAWAZ ALI KIRMANI,18-Jun-2026 10:42 AM,18-Jun-2026 11:00 AM,techsummary_2172211.pdf (672.35 KB),AOC,CONSTRUCTION OF V.R.B AT KM. 27.100 OF DINGARPUR DY. UNDER PROJECT M.G.C. STAGE-II,CONSTRUCTION OF V.R.B AT KM. 27.100 OF DINGARPUR DY. UNDER PROJECT M.G.C. STAGE-II,Please refer Tender documents. ,NA ,"14,00,000",Civil Works - Canal,NA ,Tender,90.0,NA ,AMROHA,244222.0,NA ,NA ,NA ,EEMGCCD4 AMROHA,No ,No,1,Fee/PreQual/Technical,.pdf,Technical,EEMGCCD4 AMROHA,EEMGCCD4 AMROHA,1.0,SBI Bank,854.0,Nil,Nil,No,"28,000",No,percentage,2.0%,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-4, Amroha",02/EE/2026-27,2026_UPIDC_1158959_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,10-Jun-2026 03:00 PM,16-Jun-2026 11:00 AM,10-Jun-2026 03:00 PM,15-Jun-2026 05:00 PM,NA ,NA ,10-Jun-2026 03:00 PM,15-Jun-2026 05:00 PM,18-Jun-2026 11:00 AM,AOC
,,,,,,,2,6197077,M/S H.M.Y. Construction,15-Jun-2026 04:57 PM,Rejected-Finance,L2,07-Jul-2026 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
