Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Summary,Narendra chaudhary,17-Jun-2026 02:43 PM,technical_2160857.pdf,21-Jul-2026,"INR 867,557.37",90.0,Narendra chaudhary,21-Jul-2026 05:26 PM,Jagdeyi0007.pdf (1010.00 KB),l1,Er Narendra Chaudhry,Internal,,Narendra chaudhary,17-Jun-2026 02:46 PM,17-Jun-2026 02:50 PM,techsummary_2160857.pdf (573.49 KB),1,6160043,M/S DIPTI KATIYAR,03-Jun-2026 11:19 AM,Rejected-AOC,l2,21-Jul-2026 05:26 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1153428_10,299/RED/TENDER/26-27 Dt-30-04-2026,Gram Panchayat Hardi Mazra Rani Jagdeyi Khera me Main Damar Road se Chedi Kori ke Darwaje tak interlocking evm Nali ka Nirman karye,Er Narendra Chaudhry,Internal,,Narendra chaudhary,21-Jul-2026 05:24 PM,finsummary_2160857.pdf (1010.43 KB),Finance,Summary,Narendra chaudhary,21-Jul-2026 05:22 PM,finance_2160857.pdf,BOQ Comparative Chart,1.0,6158401.0,M/S RAHUL PRATAP SINGH,INR,"867,557.37",AOC,Gram Panchayat Hardi Mazra Rani Jagdeyi Khera me Main Damar Road se Chedi Kori ke Darwaje tak interlocking evm Nali ka Nirman karye,Gram Panchayat Hardi Mazra Rani Jagdeyi Khera me Main Damar Road se Chedi Kori ke Darwaje tak interlocking evm Nali ka Nirman karye,Plz Refer Doc ,NA ,"8,69,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,299/RED/TENDER/26-27 Dt-30-04-2026,2026_REDUP_1153428_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"17,000",Yes,fixed,,Nil,Nil,25-May-2026 04:30 PM,04-Jun-2026 12:30 PM,25-May-2026 04:30 PM,04-Jun-2026 12:00 PM,NA ,NA ,25-May-2026 04:30 PM,04-Jun-2026 12:00 PM,17-Jun-2026 02:50 PM,Er Narendra Chaudhary,Vikash Bhawan Unnao,"1,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,2,6158401,M/S RAHUL PRATAP SINGH,01-Jun-2026 08:43 PM,Accepted-AOC,l1,21-Jul-2026 05:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
