Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EE RED KUSHINAGAR,EE RED KUSHINAGAR,"2,336",Nil,Nil,No,"58,000",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,23-May-2026 03:00 PM,29-May-2026 03:00 PM,23-May-2026 03:00 PM,29-May-2026 12:00 PM,NA ,NA ,23-May-2026 03:00 PM,29-May-2026 12:00 PM,01-Jun-2026 06:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2742/EE TENDER/KUSHINAGAR,2026_REDUP_1150065_24,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Kasya Tehsil Nyayalaya mein Adhivakta Kaksh ka nirman karya.,Kasya Tehsil Nyayalaya mein Adhivakta Kaksh ka nirman karya.,Please refer Tender documents. ,NA ,"29,12,000",Civil Works,NA ,Tender,90.0,90.0,WORK,274403.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1150065_24,2742/EE TENDER/KUSHINAGAR,Kasya Tehsil Nyayalaya mein Adhivakta Kaksh ka nirman karya.,1,6144402,DHARMEDNRA KUMAR RAO,28-May-2026 12:12 PM,Rejected-Finance,L2,17-Jul-2026 02:04 PM,Finance,Bid Opening Summary,Praveen Kumar,05-Jun-2026 02:14 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,GIRISH KUMAR,17-Jul-2026 02:04 PM,finsummary_2153522.pdf (140.84 KB),1.0,6144388.0,MAHI ENTERPRISES,INR,100.0,Technical,Bid Opening Summary,Praveen Kumar,30-May-2026 08:45 AM,,18-Jul-2026,INR 100,90.0,GIRISH KUMAR,18-Jul-2026 11:05 AM,24.pdf (141.00 KB),EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,01-Jun-2026 05:10 PM,01-Jun-2026 06:00 PM,techsummary_2153522.pdf (942.12 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6144388,MAHI ENTERPRISES,28-May-2026 12:41 PM,Accepted-AOC,L1,18-Jul-2026 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
