EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"51,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",846.0,Nil,Nil,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,2026_YEIDA_1107376_17,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,SBI Bank,"C.C. Road Repair, Relaying and Laying Interlocking Tiles Work and Brick Drain Repair in Village Rampur Bangar (Jewar), YEIDA WC-06","C.C. Road Repair, Relaying and Laying Interlocking Tiles Work and Brick Drain Repair in Village Rampur Bangar (Jewar), YEIDA WC-06",Please refer Tender documents. ,NA ,"25,54,104",Civil Works,NA ,Tender,90.0,90.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"E- TEDER CELL ,2ND FLOOR , YEIDA OFFICE",No ,No,21-Jan-2026 06:55 PM,02-Feb-2026 11:00 AM,21-Jan-2026 06:55 PM,30-Jan-2026 05:00 PM,NA ,NA ,21-Jan-2026 06:55 PM,30-Jan-2026 05:00 PM,05-Mar-2026 12:55 PM,AOC,Yamuna Expressway Industrial Development Authority,2026_YEIDA_1107376_17,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,"C.C. Road Repair, Relaying and Laying Interlocking Tiles Work and Brick Drain Repair in Village Rampur Bangar (Jewar), YEIDA WC-06",1.0,5828333.0,MANYA CONSTRUCTION AND SUPPLIERS,30-Jan-2026 01:37 AM,Rejected-Finance,L2,19-Mar-2026 11:42 AM,1.0,5832775.0,M/S STRONG FOUNDATION ASSOCAITES,INR,"1,681,877.69",Finance,UNDER EVALUATION,BHARAM PAL SINGH,19-Mar-2026 11:39 AM,,BOQ Comparative Chart,Committee,Internal,Committee,BHARAM PAL SINGH,19-Mar-2026 11:42 AM,finsummary_2045609.pdf (834.15 KB),Committee,Internal,Committee,VIKAS KUMAR,05-Mar-2026 12:51 PM,05-Mar-2026 12:55 PM,techsummary_2045609.pdf (563.17 KB),Technical,under,VIKAS KUMAR,05-Mar-2026 12:47 PM,,19-Mar-2026,"INR 1,681,877.69",90.0,BHARAM PAL SINGH,07-Jul-2026 12:06 PM,234.pdf (135.00 KB),AOC,AOC
,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,5831514.0,M/S AS ASSOCIATES,29-Jan-2026 04:57 PM,Rejected-Finance,L4,19-Mar-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,5832775.0,M/S STRONG FOUNDATION ASSOCAITES,30-Jan-2026 02:46 PM,Accepted-AOC,L1,07-Jul-2026 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4.0,5824835.0,PRADHAN CONTRACTOR,26-Jan-2026 07:53 PM,Rejected-Finance,L3,19-Mar-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
