Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
21-Jul-2026,"INR 1,825,850.4",10.0,Naveen Kumar,21-Jul-2026 06:03 PM,lot2.pdf (495.00 KB),1,6190957,M/S SANJAY CONSTRUCTION COMPANY,12-Jun-2026 03:42 PM,Accepted-AOC,L1,21-Jul-2026 06:03 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||EE ID Sultanpur",2026_UPIDC_1158475_2,01/EE/IDS/SLN/2026-27,Brick Soling on Gopalpur Dy. L/B from Km. 3.338 to Km. 4.361,1.0,6190957.0,M/S SANJAY CONSTRUCTION COMPANY,INR,"1,825,850.4",Technical,TECHNICALEVALUATION,Naveen Kumar,16-Jun-2026 03:16 PM,technical_2171177.pdf,EEIDSULTANPUR,Internal,EEIDSULTANPUREEBDSCBARABANKIDAOIDSULTANPUR,Naveen Kumar,19-Jun-2026 05:12 PM,finsummary_2171177.pdf (405.24 KB),Finance,BOQ,Naveen Kumar,19-Jun-2026 04:52 PM,finance_2171177.pdf,BOQ Comparative Chart,EEIDSULTANPUR,Internal,EEIDSULTANPUREESSK28HAIDARGARHDAOIDSULTANPUR,Naveen Kumar,16-Jun-2026 03:22 PM,17-Jun-2026 10:00 AM,techsummary_2171177.pdf (405.24 KB),AOC,10-Jun-2026 09:00 AM,15-Jun-2026 03:30 PM,10-Jun-2026 09:00 AM,15-Jun-2026 10:30 AM,NA ,NA ,10-Jun-2026 09:00 AM,15-Jun-2026 10:30 AM,17-Jun-2026 10:00 AM,EE ID Sultaanpur,EE ID Sultaanpur,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||EE ID Sultanpur",01/EE/IDS/SLN/2026-27,2026_UPIDC_1158475_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT AND BID DOCUMENT,Brick Soling on Gopalpur Dy. L/B from Km. 3.338 to Km. 4.361,Brick Soling on Gopalpur Dy. L/B from Km. 3.338 to Km. 4.361,Please refer Tender documents. ,NA ,"18,27,000",Civil Works,NA ,Tender,90.0,10.0,sultanpur,228001.0,NA ,NA ,NA ,EE ID Sultaanpur,No ,No,1.0,SBI Bank,"37,000",Yes,fixed,,Nil,Nil,855.0,Nil,Nil,No,AOC
,,,,,,2,6190924,PRAKASH CONSTRUCTION,14-Jun-2026 05:39 PM,Rejected-Finance,L2,19-Jun-2026 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
