Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,05-Jun-2026 04:52 PM,10-Jun-2026 01:00 PM,techsummary_2143762.pdf (722.61 KB),31-Jul-2026,"INR 2,715,851.55",90.0,Satyaprakash Mishra,31-Jul-2026 07:37 PM,udaichand.pdf (511.00 KB),AWARD OF CONTRACT,Technical,d,Satyaprakash Mishra,21-May-2026 11:55 AM,,Finance,Summary,Hemant Sexena,24-Jun-2026 05:57 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,29-Jul-2026 04:01 PM,finsummary_2143762.pdf (565.40 KB),1.0,6099319.0,CHANDRA PRAKASH MISHRA,INR,"2,715,851.55",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1146244_22,Notice No. 19 date 06-04-2026,Construction of Interlocking road from Nahar to Dalit basti in Udaichandpur,1,6099319,CHANDRA PRAKASH MISHRA,15-May-2026 01:06 PM,Accepted-AOC,accepted,31-Jul-2026 07:36 PM,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 19 date 06-04-2026,2026_REDUP_1146244_22,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,07-May-2026 06:10 PM,16-May-2026 02:00 PM,07-May-2026 06:10 PM,15-May-2026 05:00 PM,NA ,NA ,07-May-2026 06:10 PM,15-May-2026 05:00 PM,10-Jun-2026 01:00 PM,eeredallahabad,eeredallahabad,Construction of Interlocking road from Nahar to Dalit basti in Udaichandpur,Construction of Interlocking road from Nahar to Dalit basti in Udaichandpur,Please refer Tender documents. ,NA ,"27,22,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,pdf,"2,500",Nil,Nil,No,"55,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6099354,M/S ACHHEY LAL,12-May-2026 04:24 PM,Rejected-Finance,Higher,29-Jul-2026 04:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,,,AOC
