Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Construction interlocking Road in village Sarwan, Babina Block from the house of Vinod Luhar towards Shankar Ji Ripta.","Construction interlocking Road in village Sarwan, Babina Block from the house of Vinod Luhar towards Shankar Ji Ripta.",As per NIT ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Jhansi,284401.0,NA ,NA ,NA ,Jhansi,No ,No,"5,900",Nil,Nil,No,Project Manager Unit 12,129 KK Puri Awas Vikas Jhansi,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2/PM12/UPPCL/2026-27,2026_UPPRC_1144932_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,04-May-2026 09:00 AM,11-May-2026 04:00 PM,04-May-2026 09:00 AM,11-May-2026 03:00 PM,04-May-2026 09:00 AM ,11-May-2026 03:00 PM ,04-May-2026 09:00 AM,11-May-2026 03:00 PM,27-May-2026 02:00 PM,1,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,"24,000",No,fixed,,Nil,Nil,AOC,Finance,2 bid Admitted,PRAVEEN KUMAR SHARMA,30-May-2026 02:01 PM,finance_2139748.pdf,BOQ Comparative Chart,PM 12 Jhansi,Internal,Ravikant accountant,PRAVEEN KUMAR SHARMA,27-May-2026 11:49 AM,27-May-2026 02:00 PM,techsummary_2139748.pdf (1030.25 KB),Technical,Two Bids Admitted,PRAVEEN KUMAR SHARMA,12-May-2026 01:24 PM,technical_2139748.pdf,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,19-Jun-2026 03:47 PM,finsummary_2139748.pdf (192.96 KB),04-Jul-2026,"INR 1,182,456.92",60.0,PRAVEEN KUMAR SHARMA,04-Jul-2026 01:16 PM,2.pdf (418.00 KB),L1,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2026_UPPRC_1144932_2,2/PM12/UPPCL/2026-27,"Construction interlocking Road in village Sarwan, Babina Block from the house of Vinod Luhar towards Shankar Ji Ripta.",1.0,6103653.0,ONES ASSOCIATION,INR,"1,182,456.92",1,6103653,ONES ASSOCIATION,10-May-2026 09:27 PM,Accepted-AOC,L1,04-Jul-2026 01:16 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6103891,RUDRAKSH ELECTRICAL AND CONSTRUCTION,10-May-2026 10:50 PM,Rejected-AOC,L2,04-Jul-2026 01:16 PM,AOC
