Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
16-Jul-2026,"INR 615,357.648",45.0,himanshu dharia,16-Jul-2026 07:54 AM,boqcomparativechartlt3.pdf (22.00 KB),L1,1,6142735,Kedar Traders,26-May-2026 11:31 AM,Accepted-AOC,L1,16-Jul-2026 07:54 AM,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",2026_UPIDC_1150888_5,01/EE/2026-27,01/EE/2026-27(LOT-5),1.0,6142735.0,Kedar Traders,INR,"615,357.648",Finance,02 Bidder Admitted,himanshu dharia,16-Jul-2026 07:46 AM,finance_2155548.pdf,BOQ Comparative Chart,Himanshu Dharia,Internal,S N UPENDRA,himanshu dharia,12-Jun-2026 11:58 AM,12-Jun-2026 12:00 PM,techsummary_2155548.pdf (232.67 KB),Technical,02 Bidder submitted Your Bid 02 Bidder Admitted,himanshu dharia,12-Jun-2026 11:51 AM,technical_2155548.pdf,Himanshu Dharia,Internal,SN UPENDRA ROHIT,himanshu dharia,16-Jul-2026 07:50 AM,finsummary_2155548.pdf (232.77 KB),AOC,"1,07,000",No,fixed,,Nil,Nil,01/EE/2026-27(LOT-5),01/EE/2026-27(LOT-5),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,45.0,MORADABAD,244001.0,NA ,NA ,NA ,MEERUT,No ,No,1,Fee/PreQual/Technical,.pdf,As per TD,1.0,SBI Bank,20-May-2026 12:10 PM,26-May-2026 02:00 PM,20-May-2026 12:10 PM,26-May-2026 12:10 PM,NA ,NA ,20-May-2026 12:10 PM,26-May-2026 12:10 PM,12-Jun-2026 12:00 PM,EXECUTIVE ENGINEER,"Office of EE MGCCD6, Meerut",854.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",01/EE/2026-27,2026_UPIDC_1150888_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,2,6142176,VK CONSTRUCTION,26-May-2026 11:44 AM,Rejected-Finance,L2,16-Jul-2026 07:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
