S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,FDR - Fixed Deposit,14-Jul-2026 02:00 PM,21-Jul-2026 02:00 PM,14-Jul-2026 02:00 PM,21-Jul-2026 01:00 PM,14-Jul-2026 02:00 PM ,21-Jul-2026 01:00 PM ,14-Jul-2026 02:00 PM,21-Jul-2026 01:00 PM,27-Jul-2026 09:00 AM,"1,652",UPSCIDCO,BASTI,No,Construction of yatri Rest work at Gram Panchayat Berata Me Kali Ji Ke Sthan Par Block Parsarampur Distt Basti. (Vidhayak Nidhi Harraiya Basti),Construction of yatri Rest work at Gram Panchayat Berata Me Kali Ji Ke Sthan Par Block Parsarampur Distt Basti. (Vidhayak Nidhi Harraiya Basti),As Given in NIT ,NA ,"19,84,980",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",18-Jul-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,"40,000",No,fixed,,UPSCIDCO,BASTI,1,Fee/PreQual/Technical,.pdf,NIT,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,750 /EE Basti /E-Tender /Vidhyak Nidhi Harriyai Basti,2026_SCIDC_1169014_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Technical,M/s GEETA TRADING AND CONSTRUCTION and M/S AANYA CONSTRUCTION Found,Ramesh Bahadur Shahi,25-Jul-2026 07:08 PM,technical_2193642.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,30-Jul-2026 03:41 PM,finsummary_2193642.pdf (708.70 KB),Finance,M/s GEETA TRADING AND CONSTRUCTION Found L1,Ramesh Bahadur Shahi,30-Jul-2026 03:38 PM,finance_2193642.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,25-Jul-2026 07:10 PM,27-Jul-2026 09:00 AM,techsummary_2193642.pdf (583.57 KB),31-Jul-2026,"INR 1,983,987",90.0,Ramesh Bahadur Shahi,31-Jul-2026 04:20 PM,12Berata.pdf (1053.00 KB),M/s Geeta Trading and Construction Found L1,1,6260995,GEETA TRADING AND CONSTRUCTION,18-Jul-2026 04:40 PM,Accepted-AOC,L1,31-Jul-2026 04:20 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1169014_1,750 /EE Basti /E-Tender /Vidhyak Nidhi Harriyai Basti,Construction of yatri Rest work at Gram Panchayat Berata Me Kali Ji Ke Sthan Par Block Parsarampur Distt Basti. (Vidhayak Nidhi Harraiya Basti),1.0,6260995.0,GEETA TRADING AND CONSTRUCTION,INR,"1,983,987",AOC
2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6264931,M/S AANYA CONSTRUCTION,20-Jul-2026 08:09 PM,Rejected-Finance,L2,30-Jul-2026 03:41 PM,,,,,,,,,,AOC
