S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6262191.0,M/S MAHAVEER CONSTRUCTION AND GENERAL ORDER SUPPLIERS,INR,"932,169.98",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1165591_2,357-2/E.E. BLY/E-Tender/BLY/2026-27 Dt. 01.07.2026,Construction work of Mahatma Budh Memory Gates at After Abhaypur in Abhaypur to Agras Road SMRS College (MLC Nidhi),1,6262191,M/S MAHAVEER CONSTRUCTION AND GENERAL ORDER SUPPLIERS,19-Jul-2026 05:53 PM,Accepted-AOC,Ist Lowest Rate,22-Jul-2026 07:22 PM,22-Jul-2026,"INR 932,169.98",60.0,Vinod Kumar Kardam,22-Jul-2026 07:22 PM,LOI2.pdf (130.00 KB),Total Contract Value Rs. 932169.98,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Vinod Kumar Kardam,22-Jul-2026 04:01 PM,finsummary_2194076.pdf (122.71 KB),Technical,Technical Bid Opening Summary,Vinod Kumar Kardam,22-Jul-2026 01:49 PM,technical_2194076.pdf,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Vinod Kumar Kardam,22-Jul-2026 01:55 PM,22-Jul-2026 02:00 PM,techsummary_2194076.pdf (284.60 KB),Finance,"Vinod Kumar Kardam, Bhaskar Mishra",Vinod Kumar Kardam,22-Jul-2026 02:34 PM,finance_2194076.pdf,BOQ Comparative Chart,AOC,"1,062",EE UPSCIDCO,BAREILLY,No,1.0,RTGS - RTGS Payment,14-Jul-2026 06:00 PM,21-Jul-2026 02:00 PM,14-Jul-2026 06:00 PM,21-Jul-2026 01:00 PM,NA ,NA ,14-Jul-2026 06:00 PM,21-Jul-2026 01:00 PM,22-Jul-2026 02:00 PM,Construction work of Mahatma Budh Memory Gates at After Abhaypur in Abhaypur to Agras Road SMRS College (MLC Nidhi),Construction work of Mahatma Budh Memory Gates at After Abhaypur in Abhaypur to Agras Road SMRS College (MLC Nidhi),Construction work of Mahatma Budh Memory Gates at After Abhaypur in Abhaypur to Agras Road SMRS College (MLC Nidhi) ,NA ,"9,32,543",Civil Works - Others,Construction work of Mahatma Budh Memory Gates ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee EMD and BOQ",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,357-2/E.E. BLY/E-Tender/BLY/2026-27 Dt. 01.07.2026,2026_SCIDC_1165591_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","18,700",No,fixed,,EE UPSCIDCO,BAREILLY,AOC
,,,,,,,,,2,6262277,Syed Construction,19-Jul-2026 06:57 PM,Rejected-AOC,IInd Lowest Rate,22-Jul-2026 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,AOC
