S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1,6134254,DEEPAK MISHRA,21-May-2026 05:36 PM,Rejected-Finance,High Rate,02-Jul-2026 11:01 AM,1.0,6132486.0,JAYA SRI INDUSTRIES,INR,"708,761",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,2026_SCIDC_1148607_1,16/EE/ET/LTP/2026-27,"VIDHAYAK NIDHI 2025-26 KE ANTARGAT STABLISATION OF PLAYGROUND EQUIPMENT AT VARIOUS PLACE (1- Prathmik Vidyalay Hanauta, 2- Prathmik Vidyalay Katkyari, 3- Prathmik Vidyalay Servasans Kala) IN BOLCK- TALBEHAT LALITPUR",02-Jul-2026,"INR 708,761",120.0,Rajesh Chaudhary,22-Jul-2026 03:58 PM,aoc.pdf (443.00 KB),The work is awarded to M/s Jaya Shri Industries,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,23-Jun-2026 04:03 PM,23-Jun-2026 05:00 PM,techsummary_2150083.pdf (454.71 KB),Finance,Financial Summary,Rajesh Chaudhary,02-Jul-2026 10:59 AM,finance_2150083.pdf,BOQ Comparative Chart,EE,Internal,Asstt Acctt,Rajesh Chaudhary,02-Jul-2026 11:01 AM,finsummary_2150083.pdf (1166.70 KB),Technical,Technical Summary,Rajesh Chaudhary,23-Jun-2026 04:02 PM,technical_2150083.pdf,AOC,"VIDHAYAK NIDHI 2025-26 KE ANTARGAT STABLISATION OF PLAYGROUND EQUIPMENT AT VARIOUS PLACE (1- Prathmik Vidyalay Hanauta, 2- Prathmik Vidyalay Katkyari, 3- Prathmik Vidyalay Servasans Kala) IN BOLCK- TALBEHAT LALITPUR","VIDHAYAK NIDHI 2025-26 KE ANTARGAT STABLISATION OF PLAYGROUND EQUIPMENT AT VARIOUS PLACE (1- Prathmik Vidyalay Hanauta, 2- Prathmik Vidyalay Katkyari, 3- Prathmik Vidyalay Servasans Kala) IN BOLCK- TALBEHAT LALITPUR",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,block talbehat,284126.0,NA ,NA ,NA ,LALITPUR,No ,No,"1,062",EXECUTIVE ENGINEER UP SCIDCO LTD.,LALITPUR,No,15-May-2026 12:00 PM,22-May-2026 03:30 PM,15-May-2026 12:00 PM,22-May-2026 03:00 PM,NA ,NA ,15-May-2026 03:00 PM,22-May-2026 03:00 PM,23-Jun-2026 05:00 PM,EXECUTIVE ENGINEER,up state construction and infrastructure development corporation ltd. Lalitpur near DPRO office,"14,200",No,fixed,,EXECUTIVE ENGINEER UP SCIDCO LTD.,LALITPUR,1.0,RTGS - RTGS Payment,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,16/EE/ET/LTP/2026-27,2026_SCIDC_1148607_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL/DOCUMENT/FEE/EMD,AOC
2,6132486,JAYA SRI INDUSTRIES,20-May-2026 10:26 PM,Accepted-AOC,firm quoted lowest rate,22-Jul-2026 03:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC
3,6127825,Khalsa Exports Private Limited,21-May-2026 04:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Jun-2026 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
