S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,RTGS - RTGS Payment,08-Jul-2026 12:00 PM,15-Jul-2026 11:00 AM,08-Jul-2026 12:30 PM,15-Jul-2026 10:30 AM,NA ,NA ,08-Jul-2026 01:00 PM,15-Jul-2026 10:30 AM,23-Jul-2026 10:00 AM,"1,652",UPSCIDCO,HAPUR,No,"57,400",No,fixed,,UPSCIDCO,HAPUR,1,Fee/PreQual/Technical,.pdf,TENDER FEE/EMD/TENDER DOCUMENTS,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,002/EE/HAPUR/E-TENDER/2026-27,2026_SCIDC_1167628_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE ENGINEER,SJ-59 SHASTRI NAGAR GHAZIABAD,"Construction of ACR-2 and Guard Room at Composite School, Village Sabli, Distt. Hapur","Construction of ACR-2 and Guard Room at Composite School, Village Sabli, Distt. Hapur",Please refer Tender documents. ,NA ,"28,66,548",Construction Works,NA ,Tender,90.0,180.0,"Village Sabli, Distt. Hapur",245101.0,NA ,NA ,NA ,SJ-59 SHASTRI NAGAR GHAZIABAD,No ,No,AOC,EXECUTIVE ENGINEER,Internal,"MAHENDRA SINGH,MOOL CHANDRA,LOKMANI RAJPUT",Mool Chandra,29-Jul-2026 12:41 PM,finsummary_2189797.pdf (552.47 KB),Technical,TECHNICAL SUMMARY,Mool Chandra,22-Jul-2026 01:31 PM,technical_2189797.pdf,EXECUTIVE ENGINEER,Internal,"MAHENDRA SINGH,MOOL CHANDRA,LOKMANI RAJPUT",Mool Chandra,22-Jul-2026 01:48 PM,23-Jul-2026 10:00 AM,techsummary_2189797.pdf (369.56 KB),Finance,BOQ COMPARATIVE CHART,Mool Chandra,29-Jul-2026 12:15 PM,finance_2189797.pdf,BOQ Comparative Chart,1.0,6253751.0,M/S DHARAM CONSTRUCTION CO,INR,"2,852,214.91",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,2026_SCIDC_1167628_1,002/EE/HAPUR/E-TENDER/2026-27,"Construction of ACR-2 and Guard Room at Composite School, Village Sabli, Distt. Hapur",1,6250757,GAYATRY ENTERPRTSES,14-Jul-2026 04:06 PM,Rejected-Finance,BEING L2,29-Jul-2026 12:41 PM,29-Jul-2026,"INR 2,852,214.91",180.0,Mool Chandra,29-Jul-2026 12:42 PM,AOC002.pdf (283.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6253751,M/S DHARAM CONSTRUCTION CO,14-Jul-2026 05:31 PM,Accepted-AOC,BEING L1,29-Jul-2026 12:42 PM,,,,,,,,AOC
