Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,2026_REDUP_1156625_9,58/NIVIDA AGRA/2025-26 dt 07.5.2026,9 Vikas Khand Bali Ahir Ke Gram Amroli Katara mein na mila Main CL Memorial School Ke paas Vikash ka Barali Ahir Ke Grama Katara mein Nam mein Chandra Prakash Master Ke ghar Ke paas Vikash Barali Ahir Ke Dhan wali Katara mein Baba Murti Das Radha Bal,1.0,6189959.0,M/S PRAYAG CONSTRUCTION,INR,"2,488,755",1,6190680,Lovely Enterprises,14-Jun-2026 12:25 PM,Rejected-Finance,L2,18-Jun-2026 01:19 PM,18-Jun-2026,"INR 2,488,755",90.0,Dinesh Singh,09-Jul-2026 05:21 PM,BLANK.pdf (181.00 KB),EERED,Internal,,Dinesh Singh,18-Jun-2026 01:19 PM,finsummary_2167307.pdf (181.05 KB),Technical,ALL BID ADMITTED,Dinesh Singh,16-Jun-2026 05:22 PM,,EERED,Internal,,Dinesh Singh,17-Jun-2026 11:34 AM,18-Jun-2026 10:00 AM,techsummary_2167307.pdf (181.05 KB),Finance,ALL BID ADMITTED,Dinesh Singh,18-Jun-2026 11:39 AM,,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,58/NIVIDA AGRA/2025-26 dt 07.5.2026,2026_REDUP_1156625_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,DATE.,Date,,1,Fee/PreQual/Technical,.pdf,sbd,854.0,Nil,Nil,No,"50,000",Yes,fixed,,Nil,Nil,EEREDAGRA,EEREDAGRA,1.0,SBI Bank,03-Jun-2026 12:00 PM,16-Jun-2026 12:30 PM,03-Jun-2026 12:00 PM,16-Jun-2026 12:00 PM,NA ,NA ,03-Jun-2026 12:00 PM,16-Jun-2026 12:00 PM,18-Jun-2026 10:00 AM,9 Vikas Khand Bali Ahir Ke Gram Amroli Katara mein na mila Main CL Memorial School Ke paas Vikash ka Barali Ahir Ke Grama Katara mein Nam mein Chandra Prakash Master Ke ghar Ke paas Vikash Barali Ahir Ke Dhan wali Katara mein Baba Murti Das Radha Bal,9 Vikas Khand Bali Ahir Ke Gram Amroli Katara mein na mila Main CL Memorial School Ke paas Vikash ka Barali Ahir Ke Grama Katara mein Nam mein Chandra Prakash Master Ke ghar Ke paas Vikash Barali Ahir Ke Dhan wali Katara mein Baba Murti Das Radha Bal,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,AGRA,282002.0,NA ,NA ,NA ,EEREDAGRA,No ,No,AOC
,,,,,,,,,2,6189959,M/S PRAYAG CONSTRUCTION,14-Jun-2026 12:40 PM,Accepted-AOC,L1,09-Jul-2026 05:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
