Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
31-Jul-2026,"INR 1,328,335",90.0,Ramesh Bahadur Shahi,31-Jul-2026 03:54 PM,7Ranipur.pdf (1097.00 KB),M/s Geeta Trading and Construction Found L1,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1168981_1,745 /EE Basti /E-Tender /Vidhyak Nidhi Harriyai Basti /2025-26 Dated 13 -07-2026,Construction of yatri Rest work at Gram Panchayat Ranipur Ladh Me Indian Gas Agency Ke Bagal Block Dubauliya Distt Basti. (Vidhayak Nidhi Harraiya Basti),1.0,6260918.0,GEETA TRADING AND CONSTRUCTION,INR,"1,328,335",1,6260918,GEETA TRADING AND CONSTRUCTION,18-Jul-2026 04:14 PM,Accepted-AOC,L1,31-Jul-2026 03:54 PM,Technical,M/s GEETA TRADING AND CONSTRUCTION and M/S AANYA CONSTRUCTION Found,Ramesh Bahadur Shahi,25-Jul-2026 06:33 PM,technical_2193536.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,30-Jul-2026 02:43 PM,finsummary_2193536.pdf (708.78 KB),Finance,M/s GEETA TRADING AND CONSTRUCTION Found L1,Ramesh Bahadur Shahi,30-Jul-2026 02:39 PM,finance_2193536.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,25-Jul-2026 06:37 PM,27-Jul-2026 09:00 AM,techsummary_2193536.pdf (584.33 KB),AOC,"1,652",UPSCIDCO,BASTI,No,14-Jul-2026 02:00 PM,21-Jul-2026 02:00 PM,14-Jul-2026 02:00 PM,21-Jul-2026 01:00 PM,14-Jul-2026 02:00 PM ,21-Jul-2026 01:00 PM ,14-Jul-2026 02:00 PM,21-Jul-2026 01:00 PM,27-Jul-2026 09:00 AM,Construction of yatri Rest work at Gram Panchayat Ranipur Ladh Me Indian Gas Agency Ke Bagal Block Dubauliya Distt Basti. (Vidhayak Nidhi Harraiya Basti),Construction of yatri Rest work at Gram Panchayat Ranipur Ladh Me Indian Gas Agency Ke Bagal Block Dubauliya Distt Basti. (Vidhayak Nidhi Harraiya Basti),As Given in NIT ,NA ,"13,29,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",18-Jul-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,745 /EE Basti /E-Tender /Vidhyak Nidhi Harriyai Basti /2025-26 Dated 13 -07-2026,2026_SCIDC_1168981_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti","27,000",No,fixed,,UPSCIDCO,BASTI,1,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,2,6264819,M/S AANYA CONSTRUCTION,20-Jul-2026 07:34 PM,Rejected-Finance,L2,30-Jul-2026 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC
