Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1166992_1,380/EE(E)/LKO/Sultanpur Nidhi/26-27,12.50 Mtr. Highmast Light work in Pant Stadium Distt. Sultanpur. (Sansad Nidhi work),1.0,6249667.0,Anagh Solutions,INR,"1,101,547.83",1,6249667,Anagh Solutions,13-Jul-2026 11:04 AM,Accepted-AOC,Lowest Rate Accepted,21-Jul-2026 01:19 PM,16-Jul-2026,"INR 1,101,547.83",90.0,Ram Nayan,21-Jul-2026 01:19 PM,Anag1.pdf (516.00 KB),Attached,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,15-Jul-2026 01:43 PM,finsummary_2188822.pdf (414.01 KB),Technical,Attached,Ram Nayan,15-Jul-2026 10:58 AM,technical_2188822.pdf,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,15-Jul-2026 11:03 AM,15-Jul-2026 11:05 AM,techsummary_2188822.pdf (353.81 KB),Finance,Attached,Ram Nayan,15-Jul-2026 01:39 PM,finance_2188822.pdf,BOQ Comparative Chart,AOC,"22,000",No,fixed,,UPSCIDCOLTD,Sultanpur,06-Jul-2026 06:00 PM,13-Jul-2026 01:00 PM,06-Jul-2026 06:00 PM,13-Jul-2026 12:00 PM,NA ,NA ,06-Jul-2026 06:00 PM,13-Jul-2026 12:00 PM,15-Jul-2026 11:05 AM,Executive Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",1,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document",1,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,380/EE(E)/LKO/Sultanpur Nidhi/26-27,2026_SCIDC_1166992_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,12.50 Mtr. Highmast Light work in Pant Stadium Distt. Sultanpur. (Sansad Nidhi work),12.50 Mtr. Highmast Light work in Pant Stadium Distt. Sultanpur. (Sansad Nidhi work),12.50 Mtr. Highmast Light work in Pant Stadium Distt. Sultanpur. (Sansad Nidhi work) ,NA ,,Electrical Works,NA ,Tender,90.0,90.0,Sultanpur,228001.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,"1,655",UPSCIDCOLTD,Sultanpur,No,AOC
,,,,,,,,,2,6248555,Suresh Enterprises,13-Jul-2026 10:03 AM,Rejected-Finance,Quoted Amount rate in High,15-Jul-2026 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
