Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad||FWD, barabanki",01/EE/2026-27,2026_UPIDC_1149835_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,290.0,Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,19-May-2026 10:00 AM,26-May-2026 02:00 PM,19-May-2026 11:00 AM,26-May-2026 01:00 PM,NA ,NA ,19-May-2026 11:00 AM,26-May-2026 01:00 PM,02-Jun-2026 10:00 AM,EXECUTIVE ENGINEER,FLOOD WORKS DIVISION BARABANKI,Lot_13_Silt Clearance of Kushmahi Drain from Km. 0.000 to Km. 7.000,Lot_13_Silt Clearance of Kushmahi Drain from Km. 0.000 to Km. 7.000,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,NA ,BARABANKI,225001.0,NA ,NA ,NA ,BARABANKI,No ,No,"10,000",Yes,fixed,,Nil,Nil,AOC,1.0,6142530.0,Manju Awasthi,INR,"244,184","SHASHIKANT SINGH, EXECUTIVE ENGINEER, FLOOD WORKS DIVISION, BARABANKI",Internal,"Mr. RAJNISH KUMAR GAUTAM EXECUTIVE ENGINEER IRRIGATION DIVISION AYODHYA, Mr. SANJAY KUMAR SINGH FLOOD WORKS DIVISION AYODHYA",shashikant singh,03-Jun-2026 02:32 PM,finsummary_2153397.pdf (187.74 KB),Finance,FINANCAL EVALUATION SUMMERY,shashikant singh,03-Jun-2026 01:34 PM,finance_2153397.pdf,BOQ Comparative Chart,1,6142530,Manju Awasthi,26-May-2026 08:31 AM,Accepted-AOC,ACCEPTANCE OF TENDER,10-Jul-2026 12:44 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XI Circle Irrigation Works, Faizabad||FWD, barabanki",2026_UPIDC_1149835_13,01/EE/2026-27,Lot_13_Silt Clearance of Kushmahi Drain from Km. 0.000 to Km. 7.000,"SHASHIKANT SINGH, EXECUTIVE ENGINEER, FLOOD WORKS DIVISION, BARABANKI",Internal,"Mr. RAJNISH KUMAR GAUTAM EXECUTIVE ENGINEER IRRIGATION DIVISION AYODHYA, Mr. SANJAY KUMAR SINGH FLOOD WORKS DIVISION AYODHYA",shashikant singh,01-Jun-2026 07:22 PM,02-Jun-2026 10:00 AM,techsummary_2153397.pdf (106.12 KB),07-Jun-2026,"INR 244,184",10.0,shashikant singh,10-Jul-2026 12:44 PM,AOC_Kushmahi.pdf (595.00 KB),ACCEPTANCE OF TENDER,Technical,TECHNICAL EVALUATION SUMMERY,shashikant singh,01-Jun-2026 06:19 PM,technical_2153397.pdf,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6131241,M/S UDAY RAJ,25-May-2026 08:04 PM,Rejected-Finance,QUOTED RATE GRATER THAN L1,03-Jun-2026 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,6142006,Ritisha Enterprises,25-May-2026 08:46 PM,Rejected-Technical,TECHNICAL BID NOT QUALIFIED,01-Jun-2026 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,6141848,SHAILENDRA SINGH CONTRACTOR,25-May-2026 07:29 PM,Rejected-Technical,TECHNICAL BID NOT QUALIFIED,01-Jun-2026 07:22 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
