Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"2,354",Nil,Nil,No,01-Jun-2026 02:00 PM,29-Jun-2026 12:30 PM,01-Jun-2026 02:00 PM,29-Jun-2026 12:00 PM,NA ,NA ,01-Jun-2026 02:00 PM,29-Jun-2026 12:00 PM,07-Jul-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Tender doc,Dinapur Basanta ke madai par barat ghar ka nirman karya,Dinapur Basanta ke madai par barat ghar ka nirman karya,Please refer Tender documents. ,NA ,"20,34,000",Civil Works,NA ,Tender,90.0,90.0,EE RED VARANASI,221002.0,NA ,NA ,NA ,VIKAS BHAWAN VARANASI,No ,No,1.0,SBI Bank,EE,VIKAS BHAWAN VARANASI,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,521 DATE 16-05-2026,2026_REDUP_1155535_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"40,680",Yes,percentage,2.0%,Nil,Nil,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2026_REDUP_1155535_12,521 DATE 16-05-2026,Dinapur Basanta ke madai par barat ghar ka nirman karya,1,6220848,M/S MAHABEER ENTERPRISES,27-Jun-2026 02:17 PM,Accepted-AOC,L1,21-Jul-2026 04:00 PM,1.0,6220848.0,M/S MAHABEER ENTERPRISES,INR,"1,281,552.59",EE,Internal,,Rajesh Kumar Yadav,09-Jul-2026 05:59 PM,finsummary_2165992.pdf (102.49 KB),Finance,Admitted,Rajesh Kumar Yadav,08-Jul-2026 01:41 PM,,BOQ Comparative Chart,Technical,Admitted,Rajesh Kumar Yadav,06-Jul-2026 04:45 PM,,21-Jul-2026,"INR 1,281,552.59",90.0,Rajesh Kumar Yadav,21-Jul-2026 04:00 PM,1328.pdf (532.00 KB),EE,Internal,,Rajesh Kumar Yadav,06-Jul-2026 04:46 PM,07-Jul-2026 12:00 PM,techsummary_2165992.pdf (391.68 KB),AOC
,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6220941,SIDDHI ENTERPRISES,27-Jun-2026 02:40 PM,Rejected-Finance,L2,09-Jul-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
