Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,695/EE/RED/GKP/26-27 Date 30/05/26,2026_REDUP_1163025_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"30,980",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical Evaluation,25-Jun-2026 09:00 AM,02-Jul-2026 09:00 AM,25-Jun-2026 09:00 AM,01-Jul-2026 12:00 PM,NA ,NA ,25-Jun-2026 09:00 AM,01-Jul-2026 12:00 PM,04-Jul-2026 11:00 AM,Block-Pipraich Gram Sabha Bhaisaha mein Ramawadh ke Ghar se Mukhtar ke Ghar Tak CC Road Ka Nirman,Block-Pipraich Gram Sabha Bhaisaha mein Ramawadh ke Ghar se Mukhtar ke Ghar Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"15,49,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikash Bhawan,No ,No,1.0,SBI Bank,812.0,Nil,Nil,No,Executive Engineer,Vikash Bhawan,AOC,1.0,6225782.0,M/S Avanish Traders,INR,"1,548,997",Finance,Opend,Suresh Kumar Jaiswal,04-Jul-2026 12:39 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Suresh Kumar Jaiswal,04-Jul-2026 12:53 PM,finsummary_2180261.pdf (153.00 KB),1,6225782,M/S Avanish Traders,30-Jun-2026 05:58 PM,Accepted-AOC,L1,25-Jul-2026 02:15 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1163025_12,695/EE/RED/GKP/26-27 Date 30/05/26,Block-Pipraich Gram Sabha Bhaisaha mein Ramawadh ke Ghar se Mukhtar ke Ghar Tak CC Road Ka Nirman,16-Jul-2026,"INR 1,548,997",90.0,Abhishek Rai,25-Jul-2026 02:15 PM,bpdf.pdf (153.00 KB),Technical,Opend,Suresh Kumar Jaiswal,02-Jul-2026 02:00 PM,,Executive Engineer,Internal,,Abhishek Rai,04-Jul-2026 10:51 AM,04-Jul-2026 11:00 AM,techsummary_2180261.pdf (458.73 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6225752,M/S TIJA ENTERPRISES,30-Jun-2026 05:41 PM,Rejected-AOC,L2,25-Jul-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
