Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
10-Jul-2026,"INR 12,394,787.16",270.0,Alok Kumar,10-Jul-2026 04:23 PM,Aoc11_1.pdf (219.00 KB),AS PER UPLOADED,Technical,AS PER UPLOADED,Alok Kumar,01-Jun-2026 06:41 PM,technical_2142954.pdf,ALOK KUMAR,Internal,AS PER UPLOADED,Alok Kumar,01-Jun-2026 07:26 PM,05-Jun-2026 11:00 AM,techsummary_2142954.pdf (383.99 KB),ALOK KUMAR,Internal,AS PER UPLOADED,Alok Kumar,08-Jun-2026 12:18 PM,finsummary_2142954.pdf (383.99 KB),Finance,AS PER UPLOADED,Alok Kumar,08-Jun-2026 12:02 PM,finance_2142954.pdf,BOQ Comparative Chart,1.0,6131968.0,M/s PRATIK ENTERPRISES,INR,"12,394,787.16",1,6133467,M/S AJIT CONSTRUCTION AND ORDER SUPPLIER,21-May-2026 12:42 PM,Rejected-Finance,AS PER FINANCIAL EVALUATION,08-Jun-2026 12:18 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur",2026_UPIDC_1146065_11,01/SE/2026-27,"RECONSTRUCTION WORK OF 7 NO. SINCHPAL/BELDAR/METH (TYPE-I) QUARTER UNDER IRRIGATION DIVISION-2, DEORIA, IN DISTRICT DEORIA",AOC,"3,44,000",Yes,fixed,,Nil,Nil,SUPERINTENDING ENGINEER,"SUPERINTENDING ENGINEER GANDAK IRRIGATION WORK CIRCLE-1, GORAKHPUR","4,074",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur",01/SE/2026-27,2026_UPIDC_1146065_11,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"RECONSTRUCTION WORK OF 7 NO. SINCHPAL/BELDAR/METH (TYPE-I) QUARTER UNDER IRRIGATION DIVISION-2, DEORIA, IN DISTRICT DEORIA","RECONSTRUCTION WORK OF 7 NO. SINCHPAL/BELDAR/METH (TYPE-I) QUARTER UNDER IRRIGATION DIVISION-2, DEORIA, IN DISTRICT DEORIA",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,DEORIA,274001.0,NA ,NA ,NA ,"SE GANDAK IRRIGATION WORK CIRCLE-1, GORAKHPUR",No ,No,1.0,SBI Bank,07-May-2026 10:00 AM,21-May-2026 01:30 PM,07-May-2026 10:00 AM,21-May-2026 01:00 PM,NA ,NA ,07-May-2026 10:00 AM,21-May-2026 01:00 PM,05-Jun-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6131852,M/S KHURSED AHMAD,21-May-2026 12:05 PM,Rejected-Technical,AS PER TECHNICAL EVALUATION,01-Jun-2026 07:26 PM,,,,,AOC,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6132934,M/S PRABHAT TRADERS,21-May-2026 12:26 PM,Rejected-Finance,AS PER FINANCIAL EVALUATION,08-Jun-2026 12:18 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6131968,M/s PRATIK ENTERPRISES,20-May-2026 08:59 PM,Accepted-AOC,AS PER UPLOADED,10-Jul-2026 04:24 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6133375,RANJEET SINGH,21-May-2026 12:49 PM,Rejected-Finance,AS PER FINANCIAL EVALUATION,08-Jun-2026 12:18 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
