Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,01-Jul-2026 12:41 PM,02-Jul-2026 01:00 PM,techsummary_2177930.pdf (764.50 KB),02-Jul-2026,"INR 2,071,399.29",90.0,Satyaprakash Mishra,02-Jul-2026 08:30 PM,11.pdf (2558.00 KB),Technical,d,Satyaprakash Mishra,30-Jun-2026 03:42 PM,,1.0,6209135.0,ABHISHEK ASSOCIATE,INR,"2,071,399.29",Er SP Mishra,Internal,,Satyaprakash Mishra,02-Jul-2026 08:28 PM,finsummary_2177930.pdf (2557.96 KB),Finance,d,Satyaprakash Mishra,02-Jul-2026 07:06 PM,,BOQ Comparative Chart,1,6209135,ABHISHEK ASSOCIATE,23-Jun-2026 11:21 PM,Accepted-AOC,AWARD OF CONTRACT,02-Jul-2026 08:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1161816_11,Notice No. 518 date 01-06-2026,Construction of interlocking road and drain in bhulai ka pura Alakhnanda apartment padma mishra and suresh mishra house to abhayraj pal house and padma mishra house to till parvati house Amod srivastava,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 518 date 01-06-2026,2026_REDUP_1161816_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,19-Jun-2026 09:00 AM,25-Jun-2026 01:00 PM,19-Jun-2026 09:00 AM,24-Jun-2026 05:00 PM,NA ,NA ,19-Jun-2026 09:00 AM,24-Jun-2026 05:00 PM,02-Jul-2026 01:00 PM,"2,500",Nil,Nil,No,Construction of interlocking road and drain in bhulai ka pura Alakhnanda apartment padma mishra and suresh mishra house to abhayraj pal house and padma mishra house to till parvati house Amod srivastava,Construction of interlocking road and drain in bhulai ka pura Alakhnanda apartment padma mishra and suresh mishra house to abhayraj pal house and padma mishra house to till parvati house Amod srivastava,Please refer Tender documents. ,NA ,"20,75,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,pdf,eeredallahabad,eeredallahabad,"42,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6215813,GAURAV ASSOCIATE,24-Jun-2026 09:58 AM,Rejected-Finance,reject,02-Jul-2026 08:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,AOC
