Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Bundelkhand Vikas Nidhi Jilans Year 2025-26 ke antargat Vikas Khand Talbehat ke Gram Khairadang ke Majra Khairidang mein Sarvajanik Sthan par Tin Shed may Chabutra ka Nirman.,Bundelkhand Vikas Nidhi Jilans Year 2025-26 ke antargat Vikas Khand Talbehat ke Gram Khairadang ke Majra Khairidang mein Sarvajanik Sthan par Tin Shed may Chabutra ka Nirman.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,kheridang block talbehat,284126.0,NA ,NA ,NA ,LALITPUR,No ,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL/DOCUMENT,1.0,RTGS - RTGS Payment,"12,300",No,fixed,,EXECUTIVE ENGINEER UPSCIDCO Ltd.,Lalitpur,"1,062",EXECUTIVE ENGINEER UPSCIDCO Ltd.,Lalitpur,No,19-Jan-2026 12:00 PM,29-Jan-2026 03:30 PM,19-Jan-2026 12:00 PM,29-Jan-2026 03:00 PM,NA ,NA ,19-Jan-2026 12:00 PM,29-Jan-2026 03:00 PM,07-Feb-2026 10:00 AM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,26/EE/ET/LTP/2025-26,2026_SCIDC_1107167_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,up state construction and infrastructure development corporation ltd. Lalitpur near DPRO office,AOC,RAJESH CHAUDHARY,Internal,"EXECUTIVE ENGINEER, ASSISTANT ACCOUNTANT",Rajesh Chaudhary,06-Feb-2026 08:02 PM,07-Feb-2026 10:00 AM,techsummary_2043180.pdf (235.58 KB),Finance,DEEPAK MISHRA L1,Rajesh Chaudhary,01-Jul-2026 07:42 AM,finance_2043180.pdf,BOQ Comparative Chart,RAJESH CHAUDHARY,Internal,"EXECUTIVE ENGINEER, ASSISTANT ACCOUNTANT",Rajesh Chaudhary,01-Jul-2026 07:45 AM,finsummary_2043180.pdf (1796.69 KB),Technical,Two bids were found in order and all tender documents were found to be complete.,Rajesh Chaudhary,06-Feb-2026 08:01 PM,technical_2043180.pdf,1,5822830,DEEPAK MISHRA,24-Jan-2026 09:59 PM,Accepted-AOC,L1,01-Jul-2026 07:55 AM,1.0,5822830.0,DEEPAK MISHRA,INR,"612,113",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,2026_SCIDC_1107167_1,26/EE/ET/LTP/2025-26,Bundelkhand Vikas Nidhi Jilans Year 2025-26 ke antargat Vikas Khand Talbehat ke Gram Khairadang ke Majra Khairidang mein Sarvajanik Sthan par Tin Shed may Chabutra ka Nirman.,01-Jul-2026,"INR 612,113",120.0,Rajesh Chaudhary,01-Jul-2026 07:55 AM,loi.pdf (1919.00 KB),DEEPAK MISHRA L1,AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5829429,M/S DESHPAT CONSTRUCTION / SAVITRI,28-Jan-2026 03:40 PM,Rejected-Finance,L2,01-Jul-2026 07:45 AM,,,,,,,,,,,,,,,,,AOC
