EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"52,000",No,fixed,,Nil,Nil,CLEARANCE OF GAURITAL DRAIN FROM KM. 0.000 TO KM. 2.300,CLEARANCE OF GAURITAL DRAIN FROM KM. 0.000 TO KM. 2.300,Please refer Tender documents. ,NA ,"5,14,000",Civil Works,NA ,Tender,90.0,30.0,Siddharthnagar,272189.0,NA ,NA ,NA ,Office EE Saryu Drainage Division-2 Siddharthnagar,No ,No,1.0,SBI Bank,EE,Office EE Saryu Drainage Division-2 Siddharthnagar,1.0,Fee/PreQual/Technical,.pdf,Tender Document,766.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SDD-2 Siddharth Nagar",01/EE/2026-27,2026_UPIDC_1152642_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,28-May-2026 10:00 AM,02-Jun-2026 03:00 PM,28-May-2026 10:00 AM,02-Jun-2026 01:00 PM,28-May-2026 10:00 AM ,02-Jun-2026 01:00 PM ,28-May-2026 10:00 AM,02-Jun-2026 01:00 PM,04-Jun-2026 04:35 PM,AOC,Technical,BidSummary2,DINESH KUMAR TRIPATHI,04-Jun-2026 04:23 PM,technical_2160374.pdf,Dinesh Kumar Tripathi,Internal,Birender Paswan,DINESH KUMAR TRIPATHI,16-Jun-2026 12:11 PM,finsummary_2160374.pdf (283.93 KB),Finance,ETF2,DINESH KUMAR TRIPATHI,16-Jun-2026 11:27 AM,,BOQ Comparative Chart,Dinesh Kumar Tripathi,Internal,Birender Paswan,DINESH KUMAR TRIPATHI,04-Jun-2026 04:32 PM,04-Jun-2026 04:35 PM,techsummary_2160374.pdf (517.35 KB),14-Jul-2026,"INR 224,810.69",30.0,DINESH KUMAR TRIPATHI,14-Jul-2026 11:00 AM,ETF2.pdf (286.00 KB),AOC,1.0,6159760.0,SATISH CHANDRA PANDEY,INR,"224,810.69","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SDD-2 Siddharth Nagar",2026_UPIDC_1152642_2,01/EE/2026-27,CLEARANCE OF GAURITAL DRAIN FROM KM. 0.000 TO KM. 2.300,1,6153063,Krishna construction,30-May-2026 08:54 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6151624,M/S ABHISHEK CONSTRUCTION,31-May-2026 06:51 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6158537,M S DHERENDRA KUMAR PANDEY,01-Jun-2026 04:04 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6160287,M/S INDRAWATI CONSTRATION,01-Jun-2026 08:18 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6160526,M/S JAY MAA DURGE ENTERPRISES,02-Jun-2026 12:00 PM,Rejected-Technical,All Not Ok,04-Jun-2026 04:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6161198,M/S MISHRA CONSTRUCTION,02-Jun-2026 12:53 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6161573,M/S OM PRAKASH,02-Jun-2026 11:42 AM,Rejected-Technical,All Not Ok,04-Jun-2026 04:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6161911,M/S OM SAI TRADERS,02-Jun-2026 12:44 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6160112,MS VIJAYENDRA SINGH,02-Jun-2026 06:41 AM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6159760,SATISH CHANDRA PANDEY,01-Jun-2026 08:39 PM,Accepted-AOC,Due to lowest Rate,14-Jul-2026 11:00 AM,AOC
