Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly||FD, badaun",01/EE/2026-27,2026_UPIDC_1155019_9,Yes,Open Tender,Item Rate,Works,3.0,No,No,Online,No,No,No,354.0,Nil,Nil,No,"12,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee,.pdf,Fee,01/EE/2026-27,Making of porcupine cutter at km. 1.070 of Chandanpur-Husainpur tatbund on left bank of river Ganga in Distt. Budaun,Please refer Tender documents. ,NA ,"5,95,000",Civil Works,NA ,Rate Contract,90.0,NA ,Budaun,243601.0,NA ,NA ,NA ,Executive Engineer Flood Division Budaun,No ,No,Executive Engineer Flood Division Budaun,Executive Engineer Flood Division Budaun Near LIC Office Awas Vikas Colony Civil Line Buduan,28-May-2026 06:00 PM,03-Jun-2026 02:00 PM,28-May-2026 06:00 PM,03-Jun-2026 11:00 AM,NA ,NA ,28-May-2026 06:00 PM,03-Jun-2026 11:00 AM,08-Jun-2026 11:00 AM,AOC,Finance,Admitted,umesh chandra,11-Jun-2026 11:40 AM,,BOQ Comparative Chart,Umesh Chandra,Internal,Umesh Chandra Neeraj Kumar,umesh chandra,06-Jun-2026 06:09 PM,08-Jun-2026 11:00 AM,techsummary_2163580.pdf (316.63 KB),Technical,Admitted,umesh chandra,06-Jun-2026 04:59 PM,,Umesh Chandra,Internal,Umesh Chandra Neeraj Kumar,umesh chandra,16-Jun-2026 03:55 PM,finsummary_2163580.pdf (189.05 KB),23-Jun-2026,"INR 328,731",10.0,umesh chandra,15-Jul-2026 02:07 PM,lot9.pdf (249.00 KB),Umesh Chandra Neeraj Kumar,1,6152539,BALA JI TRADERS,30-May-2026 11:05 PM,Accepted-AOC,Accepted,15-Jul-2026 02:07 PM,1.0,6152539.0,BALA JI TRADERS,INR,"328,731","U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Flood Works Circle, Bareilly||FD, badaun",2026_UPIDC_1155019_9,01/EE/2026-27,01/EE/2026-27,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6155453,M/S J K INTERLOCKING BRICKS,01-Jun-2026 08:13 PM,Rejected-AOC,Reject,15-Jul-2026 02:07 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6154650,RAJKUMARI,02-Jun-2026 09:17 AM,Rejected-AOC,Reject,15-Jul-2026 02:07 PM,,,,,,,,,,AOC
