Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Interlocking construction work from Ramakant Pandey house to Primary School Kasturipur in village Kasturipur,Interlocking construction work from Ramakant Pandey house to Primary School Kasturipur in village Kasturipur,Please refer Tender documents. ,NA ,"28,38,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,"2,500",Nil,Nil,No,eeredallahabad,eeredallahabad,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 16 date 06-04-2026,2026_REDUP_1146851_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,08-May-2026 06:00 PM,16-May-2026 02:00 PM,08-May-2026 06:00 PM,15-May-2026 05:00 PM,NA ,NA ,08-May-2026 06:00 PM,15-May-2026 05:00 PM,09-Jun-2026 01:00 PM,"57,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,pdf,1.0,SBI Bank,AOC,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,05-Jun-2026 02:57 PM,09-Jun-2026 01:00 PM,techsummary_2144860.pdf (794.30 KB),Finance,Summary,Hemant Sexena,24-Jun-2026 05:58 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,25-Jun-2026 12:50 PM,finsummary_2144860.pdf (592.03 KB),Technical,d,Satyaprakash Mishra,21-May-2026 04:45 PM,,1,6113408,M/S SURESH KUMAR YADAV,15-May-2026 01:22 AM,Rejected-Finance,Higher,25-Jun-2026 12:50 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1146851_4,Notice No. 16 date 06-04-2026,Interlocking construction work from Ramakant Pandey house to Primary School Kasturipur in village Kasturipur,1.0,6113379.0,Vijay Enterprises,INR,"2,832,423",31-Jul-2026,"INR 2,832,423",90.0,Satyaprakash Mishra,31-Jul-2026 01:55 PM,kasturipur.pdf (606.00 KB),AWARD OF CONTRACT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,xls,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6113390,NARAYAN CONSTRUCTION,15-May-2026 01:29 AM,Rejected-Finance,Higher,25-Jun-2026 12:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6113379,Vijay Enterprises,14-May-2026 11:16 PM,Accepted-AOC,accepted,31-Jul-2026 01:55 PM,,,,,,,,,,,,,,,,,AOC
