Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1158154_1,546/EE/RED/25-05-2026,LOT 15 VIKAS KHAND PANDAH KE GRAM PANCHAYAT SALEMPUR SIGHAULI ME PICH ROAD GUDDU GIRI KE GHAR KE PAAS SE DILAWAR SAKHARI KE AAGE TAK CC ROAD,1.0,6212253.0,M/s Vivekanand Singh Contractor,INR,"677,395.07",1,6212404,M/s SHAKTI CONSTRUCTION,22-Jun-2026 03:26 PM,Rejected-Finance,second lowest,01-Jul-2026 03:07 PM,07-Jul-2026,"INR 677,395.07",90.0,Ratnesh Kumar Gond,07-Jul-2026 01:12 PM,rispansiv546.pdf (81.00 KB),aoc,EE,Internal,aedao,Ratnesh Kumar Gond,01-Jul-2026 03:07 PM,finsummary_2170605.pdf (80.92 KB),Technical,2 bid,Ratnesh Kumar Gond,25-Jun-2026 05:05 PM,,EE,Internal,aedao,ROLI VISHVKARMA,27-Jun-2026 03:38 PM,29-Jun-2026 11:00 AM,techsummary_2170605.pdf (80.90 KB),Finance,2 bid,Ratnesh Kumar Gond,29-Jun-2026 04:54 PM,,BOQ Comparative Chart,AOC,EE RED DIV BALLIA,EE RED DIV BALLIA,15-Jun-2026 09:00 AM,25-Jun-2026 12:30 PM,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,NA ,NA ,15-Jun-2026 09:00 AM,24-Jun-2026 12:00 PM,29-Jun-2026 11:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,546/EE/RED/25-05-2026,2026_REDUP_1158154_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,"13,000",Yes,fixed,,Nil,Nil,LOT 15 VIKAS KHAND PANDAH KE GRAM PANCHAYAT SALEMPUR SIGHAULI ME PICH ROAD GUDDU GIRI KE GHAR KE PAAS SE DILAWAR SAKHARI KE AAGE TAK CC ROAD,LOT 15 VIKAS KHAND PANDAH KE GRAM PANCHAYAT SALEMPUR SIGHAULI ME PICH ROAD GUDDU GIRI KE GHAR KE PAAS SE DILAWAR SAKHARI KE AAGE TAK CC ROAD,Please refer Tender documents. ,NA ,"6,78,000",Civil Works,NA ,Tender,90.0,90.0,BALLIA,277001.0,NA ,NA ,NA ,EE RED BALLIA,No ,No,1.0,SBI Bank,856.0,Nil,Nil,No,AOC
,,,,,,,,,2,6212253,M/s Vivekanand Singh Contractor,23-Jun-2026 07:00 AM,Accepted-AOC,aoc,07-Jul-2026 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
