Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
09-Apr-2026,"INR 5,135,084.58",120.0,RAJENDRA SINGH BHATI,02-Jul-2026 02:42 PM,s25.pdf (756.00 KB),AOC,Technical,UNDER EVALUATION,BHARAM PAL SINGH,18-Mar-2026 11:14 AM,,Committee,Internal,Committee,BHARAM PAL SINGH,18-Mar-2026 11:24 AM,18-Mar-2026 12:00 PM,techsummary_2045718.pdf (633.12 KB),1.0,5832765.0,M/S STRONG FOUNDATION ASSOCAITES,INR,"5,135,084.58",Committee,Internal,Committee,BHARAM PAL SINGH,09-Apr-2026 05:03 PM,finsummary_2045718.pdf (339.00 KB),Finance,UNDER,BHARAM PAL SINGH,09-Apr-2026 04:53 PM,,BOQ Comparative Chart,1,5833064,JAI SHRI KRISHNA CONTRACTOR AND SUPPLIER,30-Jan-2026 03:56 PM,Rejected-Finance,L6,09-Apr-2026 05:03 PM,Yamuna Expressway Industrial Development Authority,2026_YEIDA_1107376_25,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,"Construction of C.C road including and khadanja work in village unchi dankaur ,YEA WC-06",AOC,"1,960",Nil,Nil,No,"1,56,000",No,fixed,,Nil,Nil,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"Construction of C.C road including and khadanja work in village unchi dankaur ,YEA WC-06","Construction of C.C road including and khadanja work in village unchi dankaur ,YEA WC-06",Please refer Tender documents. ,NA ,"77,98,154",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"E- TEDER CELL ,2ND FLOOR , YEIDA OFFICE",No ,No,1.0,SBI Bank,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/455 DT-14/01/2026,2026_YEIDA_1107376_25,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",21-Jan-2026 06:55 PM,02-Feb-2026 11:00 AM,21-Jan-2026 06:55 PM,30-Jan-2026 05:00 PM,NA ,NA ,21-Jan-2026 06:55 PM,30-Jan-2026 05:00 PM,18-Mar-2026 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5828345,MANYA CONSTRUCTION AND SUPPLIERS,30-Jan-2026 01:45 AM,Rejected-Finance,L2,09-Apr-2026 05:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5831626,M/S RPS ASSOCIATES,29-Jan-2026 06:05 PM,Rejected-Finance,L4,09-Apr-2026 05:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5832765,M/S STRONG FOUNDATION ASSOCAITES,30-Jan-2026 02:38 PM,Accepted-AOC,L1,02-Jul-2026 02:43 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5832576,R K BUILDERS,30-Jan-2026 11:43 AM,Rejected-Finance,L3,09-Apr-2026 05:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5832772,S K BUILDERS,30-Jan-2026 03:01 PM,Rejected-Finance,L5,09-Apr-2026 05:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
