Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1156617_3,27/MLA/RED/2026-27/dt-04-04-26,107B jubilee ganj rajban bada bajar mein mandir ke samne nale ke pul se agar deep rodiya ke makan number 78 Jublee ganj tak interlocking tile or nail nirman karya,1.0,6175044.0,GALAXY DEVELOPERS,INR,"1,023,724",1,6175044,GALAXY DEVELOPERS,06-Jun-2026 03:18 PM,Accepted-AOC,L1 BIDDER,25-Jul-2026 03:34 PM,25-Jul-2026,"INR 1,023,724",90.0,SHUBHAM PARLE,25-Jul-2026 03:34 PM,JUBLEE.pdf (696.00 KB),EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,23-Jun-2026 12:10 PM,23-Jun-2026 12:30 PM,techsummary_2167221.pdf (416.03 KB),Finance,financial bid open,SHUBHAM PARLE,25-Jul-2026 03:14 PM,,BOQ Comparative Chart,EE RED MRT,Internal,,SHUBHAM PARLE,25-Jul-2026 03:23 PM,finsummary_2167221.pdf (695.57 KB),Technical,Technical bid open,SHUBHAM PARLE,10-Jun-2026 03:34 PM,technical_2167221.pdf,AOC,1.0,SBI Bank,EE RED MEERUT,2nd Floor Vikas Bhawan Building Meerut,"10,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,27/MLA/RED/2026-27/dt-04-04-26,2026_REDUP_1156617_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,document,107B jubilee ganj rajban bada bajar mein mandir ke samne nale ke pul se agar deep rodiya ke makan number 78 Jublee ganj tak interlocking tile or nail nirman karya,107 B jubilee ganj rajban bada bajar mein mandir ke samne nale ke pul se agar deep rodiya ke makan number 78 Jublee ganj tak interlocking tile or nail nirman karya,Please refer Tender documents. ,NA ,"8,68,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Meerut,250002.0,NA ,NA ,NA ,EE RED MEERUT DIVISION,No ,No,856.0,Nil,Nil,No,03-Jun-2026 10:00 AM,10-Jun-2026 12:30 PM,03-Jun-2026 10:00 AM,09-Jun-2026 12:00 PM,NA ,NA ,03-Jun-2026 10:00 AM,09-Jun-2026 12:00 PM,23-Jun-2026 12:30 PM,AOC
,,,,,,,,,2,6175188,pranjla construction,06-Jun-2026 03:55 PM,Rejected-Finance,HIGH RATE,25-Jul-2026 03:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
