Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,25-May-2026 02:20 PM,26-May-2026 12:00 PM,techsummary_2141154.pdf (301.90 KB),02-Jul-2026,"INR 434,356.82",20.0,NEERAJ KUMAR SINGH,02-Jul-2026 10:36 AM,Aayla.pdf (328.00 KB),Accepted,Technical,Admitted,NEERAJ KUMAR SINGH,18-May-2026 11:02 AM,,1.0,6108128.0,KAMLESH KUMAR CONTRACTOR,INR,"434,356.82",Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,24-Jun-2026 05:30 PM,finsummary_2141154.pdf (328.35 KB),Finance,Admitted,NEERAJ KUMAR SINGH,26-May-2026 05:59 PM,,BOQ Comparative Chart,1,6113613,BHAGWATIPRASAD CONTRACTOR,13-May-2026 04:12 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:20 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,2026_UPIDC_1145201_23,01/EE/2026-27,Clearance of Ayela Escape,AOC,1.0,Fee,.pdf,Corrigendum Date,Clearance of Ayela Escape,Clearance of Ayela Escape,Please Refer Tender Document ,NA ,"8,42,000",Civil Works,NA ,Tender,90.0,20.0,Clearance of Ayela Escape,282001.0,NA ,NA ,NA ,Agra,No ,No,1.0,SBI Bank,1.0,date and conditions,Date,,266.0,Nil,Nil,No,Executive Engineer,"Lower Division Agra Canal, Agra",05-May-2026 05:00 PM,15-May-2026 12:00 PM,05-May-2026 05:00 PM,14-May-2026 05:00 PM,05-May-2026 05:00 PM ,11-May-2026 05:00 PM ,05-May-2026 05:00 PM,14-May-2026 05:00 PM,26-May-2026 12:00 PM,"17,000",Yes,fixed,,Nil,Nil,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,01/EE/2026-27,2026_UPIDC_1145201_23,Yes,Open Tender,Item Wise,Works,3.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6100357,chahar constructions,09-May-2026 12:50 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:20 PM,,,,,AOC,2.0,PreQual/Technical,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6115709,CORNHILL CONSTRUCTION,14-May-2026 02:51 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:20 PM,,,,,AOC,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6102792,HETRAM CONSTRACTOR,10-May-2026 01:41 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:20 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6108128,KAMLESH KUMAR CONTRACTOR,11-May-2026 11:00 PM,Accepted-AOC,L1,02-Jul-2026 10:37 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6103651,M.K. ENTERPRISES,10-May-2026 07:04 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:20 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6115921,M/s R. S. Contractor & Suppliers,14-May-2026 04:08 PM,Rejected-Finance,L4,24-Jun-2026 05:30 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6115054,M/s SHASHAVEER SINGH CONTRACTOR AND SUPPLIERS,14-May-2026 11:52 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:20 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6115708,M/s Shree Dauji Enterprises,14-May-2026 03:03 PM,Rejected-Finance,L2,24-Jun-2026 05:30 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6114357,M/S SRASHTI INFRASTRUCTURE,14-May-2026 07:16 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 02:20 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
