Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
21-Jul-2026,"INR 1,394,969",90.0,RAJNEESH KUMAR,21-Jul-2026 11:52 AM,wardno19.pdf (368.00 KB),FINAL,1,6185816,ANIL KUMAR PATERIYA,11-Jun-2026 07:05 AM,Accepted-AOC,Y,21-Jul-2026 11:52 AM,1.0,6185816.0,ANIL KUMAR PATERIYA,INR,"1,394,969",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1157297_8,378/EE/RED/Tender/26-27 Dated 25-04-2026,"Ward no 19, Banglaghat main Nanamau ke bagecha main Patali Hanuman Mandir se shri kamta Prasad kushwaha ke makan ki aur apex sadak va nali nirman karya.",Technical,final,RAJNEESH KUMAR,04-Jul-2026 06:51 PM,,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,21-Jul-2026 11:50 AM,finsummary_2168617.pdf (368.40 KB),Finance,final,RAJNEESH KUMAR,21-Jul-2026 11:47 AM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,04-Jul-2026 06:53 PM,10-Jul-2026 12:30 PM,techsummary_2168617.pdf (710.80 KB),AOC,05-Jun-2026 02:00 PM,11-Jun-2026 03:30 PM,05-Jun-2026 02:00 PM,11-Jun-2026 12:00 PM,NA ,NA ,05-Jun-2026 02:00 PM,11-Jun-2026 12:00 PM,10-Jul-2026 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,378/EE/RED/Tender/26-27 Dated 25-04-2026,2026_REDUP_1157297_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,EE RED Jhansi,EE RED Jhansi,"29,000",Yes,fixed,,Nil,Nil,"Ward no 19, Banglaghat main Nanamau ke bagecha main Patali Hanuman Mandir se shri kamta Prasad kushwaha ke makan ki aur apex sadak va nali nirman karya.","Ward no 19, Banglaghat main Nanamau ke bagecha main Patali Hanuman Mandir se shri kamta Prasad kushwaha ke makan ki aur apex sadak va nali nirman karya.",Please refer Tender documents. ,NA ,"14,02,000",Civil Works,NA ,Tender,90.0,90.0,"Ward no 19, Banglaghat main Nanamau ke bagecha mai",284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,854.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,sbd,AOC
,,,,,,,2,6185917,LUCKY ENTERPRISES,11-Jun-2026 07:52 AM,Rejected-Finance,N,21-Jul-2026 11:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,AOC
