Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,TECHNICAL,Dinesh Singh,11-Jun-2026 05:40 PM,,22-Jul-2026,"INR 4,130,845.82",120.0,Dinesh Singh,22-Jul-2026 02:12 PM,AOC.pdf (18.00 KB),AOC,SE RED,Internal,,Dinesh Singh,13-Jun-2026 10:10 PM,15-Jun-2026 09:00 AM,techsummary_2164065.pdf (94.49 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,2026_REDUP_1155187_11,135/NIVIDA AGRA/2026-27 dt 22.5.2026,6 Vikaskhand saiya ki Gram Panchayat NadiM mein Lakhan Singh kushvaha ki dukaan se hat ki or CC Nirman karya,1,6162922,M/S SAI ENTERPRISES,03-Jun-2026 12:49 PM,Accepted-AOC,AOC,22-Jul-2026 02:12 PM,1.0,6162922.0,M/S SAI ENTERPRISES,INR,"4,130,845.82",Finance,ALL BID ADMITTED,Dinesh Singh,16-Jun-2026 06:53 PM,,BOQ Comparative Chart,SE RED,Internal,,Dinesh Singh,19-Jun-2026 04:11 PM,finsummary_2164065.pdf (61.88 KB),AOC,01-Jun-2026 10:00 AM,08-Jun-2026 02:30 PM,01-Jun-2026 10:00 AM,08-Jun-2026 12:00 PM,NA ,NA ,01-Jun-2026 10:00 AM,08-Jun-2026 12:00 PM,15-Jun-2026 09:00 AM,S.E.RED OFFICE AGRA,S.E.RED OFFICE AGRA,1.0,SBI Bank,6 Vikaskhand saiya ki Gram Panchayat NadiM mein Lakhan Singh kushvaha ki dukaan se hat ki or CC Nirman karya,6 Vikaskhand saiya ki Gram Panchayat NadiM mein Lakhan Singh kushvaha ki dukaan se hat ki or CC Nirman karya,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,AGRA,282002.0,NA ,NA ,NA ,S.E.RED OFFICE AGRA,No ,No,1,Fee/PreQual/Technical,.pdf,SBD,"2,354",Nil,Nil,No,"86,000",Yes,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,135/NIVIDA AGRA/2026-27 dt 22.5.2026,2026_REDUP_1155187_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6162827,TANYA CONSTRUCTION,05-Jun-2026 02:21 PM,Rejected-Finance,L2,19-Jun-2026 04:11 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
