Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
15-Jul-2026,"INR 752,898.53",180.0,vivek kumar verma,15-Jul-2026 07:24 PM,496.pdf (452.00 KB),Gorakhpur Industrial Development Authority,2026_UGIDA_1147056_1,496/GIDA/2026-27 DT. 24.04.2026,Construction of CC road from old middle school to Lal Bahadur Singhs house via paved road in Gram Panchayat Adilapar of GIDA area,1.0,6121600.0,Kaushik Associates,INR,"752,898.53",1,6115638,ANAND CONSTRUCTION,17-May-2026 05:54 PM,Rejected-Finance,L2,15-Jul-2026 07:23 PM,Technical,BID OPENED,VIBHOR TYAGI,19-May-2026 05:19 PM,,CEO GIDA,Internal,M(C)GM(F)ACEO,vivek kumar verma,15-Jul-2026 07:23 PM,finsummary_2145324.pdf (452.45 KB),Finance,BID OPENED,VIBHOR TYAGI,24-Jun-2026 04:03 PM,,BOQ Comparative Chart,CEO GIDA,Internal,M(C)GM(F)ACEO,vivek kumar verma,24-Jun-2026 10:17 AM,24-Jun-2026 10:20 AM,techsummary_2145324.pdf (418.46 KB),AOC,Gorakhpur Industrial Development Authority,496/GIDA/2026-27 DT. 24.04.2026,2026_UGIDA_1147056_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of CC road from old middle school to Lal Bahadur Singhs house via paved road in Gram Panchayat Adilapar of GIDA area,Construction of CC road from old middle school to Lal Bahadur Singhs house via paved road in Gram Panchayat Adilapar of GIDA area,Please refer Tender documents. ,NA ,"7,70,229",Civil Works,NA ,Tender,90.0,180.0,GIDA GORAKHPUR,273212.0,NA ,NA ,NA ,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,No ,No,"77,000",No,fixed,,Nil,Nil,1.0,SBI Bank,11-May-2026 11:00 AM,19-May-2026 04:00 PM,11-May-2026 11:00 AM,19-May-2026 03:00 PM,NA ,NA ,11-May-2026 11:00 AM,19-May-2026 03:00 PM,24-Jun-2026 10:20 AM,CEO GIDA,GIDA SECTOR 7 GIDA GORAKHPUR,1.0,Fee/PreQual/Technical,.pdf,NIT,"1,180",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,6121600,Kaushik Associates,18-May-2026 07:12 PM,Accepted-AOC,L1,15-Jul-2026 07:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T1,,,,,AOC
,,,,,,,,,,,,,,,3,6117327,M/S PRASHANT CONSTRUCTION,17-May-2026 08:38 PM,Rejected-Finance,L3,15-Jul-2026 07:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,4,6127890,PADMAWATI COMMERCIALS AND INFRABUILD,19-May-2026 02:12 PM,Rejected-Technical,NOT RESPONSIVE,24-Jun-2026 10:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,6126685,SPA Trading And Construction Co,19-May-2026 09:03 AM,Rejected-Technical,NOT RESPONSIVE,24-Jun-2026 10:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
