Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1161816_6,Notice No. 518 date 01-06-2026,Construction of interlocking road and drain in civil lines front of sangam palace sagar pasha rakesh kumar house to sanjay pandey house via ramchandra ji house via late Lakshman prsad house to restaurant,1.0,6215421.0,MAHENDRA SINGH,INR,"1,694,354.06",1,6215421,MAHENDRA SINGH,23-Jun-2026 07:45 PM,Accepted-AOC,AWARD OF CONTRACT,02-Jul-2026 09:36 PM,02-Jul-2026,"INR 1,694,354.06",90.0,Satyaprakash Mishra,02-Jul-2026 09:36 PM,1161816_6.pdf (959.00 KB),Er SP Mishra,Internal,,Satyaprakash Mishra,02-Jul-2026 09:34 PM,finsummary_2177882.pdf (958.67 KB),Technical,d,Satyaprakash Mishra,30-Jun-2026 03:44 PM,,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,01-Jul-2026 12:29 PM,02-Jul-2026 01:00 PM,techsummary_2177882.pdf (764.50 KB),Finance,d,Satyaprakash Mishra,02-Jul-2026 07:14 PM,,BOQ Comparative Chart,AOC,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 518 date 01-06-2026,2026_REDUP_1161816_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"34,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,pdf,Construction of interlocking road and drain in civil lines front of sangam palace sagar pasha rakesh kumar house to sanjay pandey house via ramchandra ji house via late Lakshman prsad house to restaurant,Construction of interlocking road and drain in civil lines front of sangam palace sagar pasha rakesh kumar house to sanjay pandey house via ramchandra ji house via late Lakshman prsad house to restaurant,Please refer Tender documents. ,NA ,"16,98,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,19-Jun-2026 09:00 AM,25-Jun-2026 01:00 PM,19-Jun-2026 09:00 AM,24-Jun-2026 05:00 PM,NA ,NA ,19-Jun-2026 09:00 AM,24-Jun-2026 05:00 PM,02-Jul-2026 01:00 PM,eeredallahabad,eeredallahabad,"2,500",Nil,Nil,No,AOC
,,,,,,,,,2,6215405,m/s dinesh singh,23-Jun-2026 08:18 PM,Rejected-Finance,Reject,02-Jul-2026 09:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
